video_id,label,label_name,label_cat,split,embedding_file,n_frames,embedding_dim
006_002,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/006_002.npz,96,768
006_002,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/006_002.npz,96,768
006_002,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/006_002.npz,96,768
006_002,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/006_002.npz,96,768
007,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/007.npz,96,768
007_132,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/007_132.npz,96,768
007_132,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/007_132.npz,96,768
007_132,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/007_132.npz,96,768
007_132,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/007_132.npz,96,768
008,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/008.npz,96,768
008_990,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/008_990.npz,96,768
008_990,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/008_990.npz,96,768
008_990,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/008_990.npz,96,768
008_990,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/008_990.npz,96,768
009,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/009.npz,96,768
009_027,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/009_027.npz,96,768
009_027,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/009_027.npz,96,768
009_027,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/009_027.npz,96,768
009_027,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/009_027.npz,96,768
010,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/010.npz,96,768
010_005,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/010_005.npz,96,768
010_005,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/010_005.npz,96,768
010_005,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/010_005.npz,96,768
010_005,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/010_005.npz,96,768
011,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/011.npz,96,768
011_805,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/011_805.npz,96,768
011_805,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/011_805.npz,96,768
011_805,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/011_805.npz,96,768
011_805,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/011_805.npz,96,768
012,1,real,FF-real,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/012.npz,96,768
012_026,0,fake,FF-NT,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/012_026.npz,96,768
012_026,0,fake,FF-FS,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/012_026.npz,96,768
012_026,0,fake,FF-F2F,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/012_026.npz,96,768
012_026,0,fake,FF-DF,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/012_026.npz,96,768
013,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/013.npz,96,768
013_883,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/013_883.npz,96,768
013_883,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/013_883.npz,96,768
013_883,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/013_883.npz,96,768
013_883,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/013_883.npz,96,768
014,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/014.npz,96,768
014_790,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/014_790.npz,96,768
014_790,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/014_790.npz,96,768
014_790,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/014_790.npz,96,768
014_790,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/014_790.npz,96,768
015,1,real,FF-real,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/015.npz,96,768
015_919,0,fake,FF-NT,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/015_919.npz,96,768
015_919,0,fake,FF-FS,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/015_919.npz,96,768
015_919,0,fake,FF-DF,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/015_919.npz,96,768
015_919,0,fake,FF-F2F,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/015_919.npz,96,768
016,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/016.npz,96,768
016_209,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/016_209.npz,96,768
016_209,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/016_209.npz,96,768
016_209,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/016_209.npz,96,768
016_209,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/016_209.npz,96,768
017,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/017.npz,96,768
017_803,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/017_803.npz,96,768
017_803,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/017_803.npz,96,768
017_803,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/017_803.npz,96,768
017_803,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/017_803.npz,96,768
018,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/018.npz,96,768
018_019,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/018_019.npz,96,768
018_019,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/018_019.npz,96,768
018_019,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/018_019.npz,96,768
018_019,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/018_019.npz,96,768
019,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/019.npz,96,768
019_018,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/019_018.npz,96,768
019_018,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/019_018.npz,96,768
019_018,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/019_018.npz,96,768
019_018,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/019_018.npz,96,768
020,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/020.npz,96,768
020_344,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/020_344.npz,96,768
020_344,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/020_344.npz,96,768
020_344,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/020_344.npz,96,768
020_344,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/020_344.npz,96,768
021,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/021.npz,96,768
021_312,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/021_312.npz,96,768
021_312,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/021_312.npz,96,768
021_312,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/021_312.npz,96,768
021_312,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/021_312.npz,96,768
022,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/022.npz,96,768
022_489,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/022_489.npz,96,768
022_489,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/022_489.npz,96,768
022_489,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/022_489.npz,96,768
022_489,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/022_489.npz,96,768
023,1,real,FF-real,val,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/023.npz,96,768
023_923,0,fake,FF-NT,val,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/023_923.npz,96,768
023_923,0,fake,FF-DF,val,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/023_923.npz,96,768
023_923,0,fake,FF-FS,val,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/023_923.npz,96,768
023_923,0,fake,FF-F2F,val,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/023_923.npz,96,768
024,1,real,FF-real,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/024.npz,96,768
024_073,0,fake,FF-F2F,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/024_073.npz,96,768
024_073,0,fake,FF-FS,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/024_073.npz,96,768
024_073,0,fake,FF-DF,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/024_073.npz,96,768
024_073,0,fake,FF-NT,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/024_073.npz,96,768
025,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/025.npz,96,768
025_067,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/025_067.npz,96,768
025_067,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/025_067.npz,96,768
025_067,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/025_067.npz,96,768
025_067,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/025_067.npz,96,768
026,1,real,FF-real,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/026.npz,96,768
026_012,0,fake,FF-FS,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/026_012.npz,96,768
026_012,0,fake,FF-F2F,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/026_012.npz,96,768
026_012,0,fake,FF-NT,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/026_012.npz,96,768
026_012,0,fake,FF-DF,test,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/026_012.npz,96,768
027,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/027.npz,96,768
027_009,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/027_009.npz,96,768
027_009,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/027_009.npz,96,768
027_009,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/027_009.npz,96,768
027_009,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/027_009.npz,96,768
028,1,real,FF-real,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-real/028.npz,96,768
028_068,0,fake,FF-DF,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-DF/028_068.npz,96,768
028_068,0,fake,FF-F2F,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-F2F/028_068.npz,96,768
028_068,0,fake,FF-NT,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-NT/028_068.npz,96,768
028_068,0,fake,FF-FS,train,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/raw/ViT-L-14-336-quickgelu_dim768/FaceForensics++/FF-FS/028_068.npz,96,768
