number,value,datetime_start,datetime_complete,duration,params_clip_layer,params_gru_dropout,params_gru_num_layers,params_hidden_dim,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
10,0.9426913265306123,2026-04-22 14:23:41.137854,2026-04-22 14:25:02.829886,0 days 00:01:21.692032,block_16,0.3489004004915562,4,512,0.0005022818397942112,constant,0.30570828651225757,256,adamw,0.003038441865670456,0.9384056122448979,0.9426913265306123,,,PRUNED
11,0.9489158163265305,2026-04-22 14:25:02.954655,2026-04-22 14:26:58.838510,0 days 00:01:55.883855,block_16,0.3518200217408609,2,512,0.00010455554512759246,constant,0.31967303113071255,256,adamw,0.000869062127767643,0.9448852040816328,,,,COMPLETE
12,0.8445280612244898,2026-04-22 14:26:58.974460,2026-04-22 14:28:57.141035,0 days 00:01:58.166575,block_12,0.29134491460009493,2,1024,0.0005122110242091118,constant,0.3178785541001434,256,adamw,0.0009296019267617772,0.9017729591836734,0.922716836734694,0.9488137755102042,,COMPLETE
13,0.9499489795918368,2026-04-22 14:28:57.261449,2026-04-22 14:30:53.412052,0 days 00:01:56.150603,block_16,0.3874034012869685,2,512,0.0002821004227628838,constant,0.32285955681290635,1024,adamw,0.0007121490907117715,0.8892984693877551,0.9147193877551022,0.9344642857142856,0.9397066326530612,COMPLETE
14,0.8081122448979592,2026-04-22 14:30:53.543248,2026-04-22 14:30:59.495282,0 days 00:00:05.952034,block_12,0.3987499566452873,2,512,0.00021267161807374051,constant,0.278230304464686,256,adamw,0.006652706145014905,0.8081122448979592,,,,PRUNED
15,0.5199362244897959,2026-04-22 14:30:59.626508,2026-04-22 14:31:05.657306,0 days 00:00:06.030798,block_20,0.31097795204184825,2,512,0.0021702818463367806,constant,0.2916210293857987,1024,adamw,0.0009062653078413129,0.5199362244897959,,,,PRUNED
16,0.8330612244897959,2026-04-22 14:31:05.795985,2026-04-22 14:31:17.277041,0 days 00:00:11.481056,block_16,0.34303182807788396,2,512,0.0001912326707319899,constant,0.36326398503208085,1024,adam,0.002989242941585312,0.8330612244897959,,,,PRUNED
17,0.9469897959183673,2026-04-22 14:31:17.394438,2026-04-22 14:32:37.264703,0 days 00:01:19.870265,block_16,0.2002344846042364,2,512,0.00028584373992725383,constant,0.38733651317920975,256,adamw,0.006630382123312511,0.9146683673469387,0.9332142857142858,0.9469897959183673,,PRUNED
18,0.9276147959183674,2026-04-22 14:32:37.424785,2026-04-22 14:33:06.823942,0 days 00:00:29.399157,block_16,0.34372990116179847,2,1024,0.00015146664758660704,constant,0.33178865482704817,1024,adam,0.0005484652689328151,0.9186096938775511,0.9276147959183674,,,PRUNED
19,0.9441071428571429,2026-04-22 14:33:06.976573,2026-04-22 14:34:26.710848,0 days 00:01:19.734275,block_16,0.28988769272092274,2,256,0.0001914483570490736,constant,0.20123358485570064,1024,adamw,0.0018032910434410566,0.9441071428571429,,,,PRUNED
20,0.9285586734693878,2026-04-22 14:34:26.835377,2026-04-22 14:35:47.253608,0 days 00:01:20.418231,block_16,0.39928030752599336,2,512,2.472079138079888e-05,cosine,0.24588105814329894,512,adamw,0.0026296237982645046,0.9285586734693878,,,,PRUNED
21,0.7182270408163266,2026-04-22 14:35:47.371965,2026-04-22 14:35:53.342648,0 days 00:00:05.970683,block_16,0.3423894311665214,2,512,4.774697462072115e-05,constant,0.3235947121280793,256,adamw,0.000768157286377152,0.7182270408163266,,,,PRUNED
22,0.9421428571428572,2026-04-22 14:35:53.457666,2026-04-22 14:37:13.394714,0 days 00:01:19.937048,block_16,0.37350211275518996,2,256,0.0001124976590754358,constant,0.38003340174163003,512,adamw,0.004408283932046157,0.9421428571428572,,,,PRUNED
23,0.9458928571428572,2026-04-22 14:37:13.520149,2026-04-22 14:39:08.786100,0 days 00:01:55.265951,block_16,0.3353592163737555,2,512,0.0006588769356887503,cosine,0.3802776545364929,256,adamw,0.0016696424930333763,0.9470535714285715,,,,COMPLETE
24,0.9501530612244898,2026-04-22 14:39:08.912731,2026-04-22 14:41:03.355116,0 days 00:01:54.442385,block_16,0.3295952408132673,2,512,0.0003159835286916773,constant,0.3541465420670603,1024,adamw,0.0010781489420034346,0.8935586734693879,0.9153188775510204,0.9354081632653061,0.9438456632653061,COMPLETE
25,0.9429910714285716,2026-04-22 14:41:03.482567,2026-04-22 14:42:22.881826,0 days 00:01:19.399259,block_16,0.3906160371613673,2,512,0.0003893330865699372,constant,0.3384610344228891,1024,adamw,0.0009281153938065079,0.8965306122448979,0.9185714285714286,0.9363392857142857,0.9429910714285716,PRUNED
26,0.7932015306122449,2026-04-22 14:42:22.998360,2026-04-22 14:42:29.175484,0 days 00:00:06.177124,block_12,0.29071242938743846,3,512,9.985217689750862e-05,constant,0.3089892228602875,1024,adamw,0.0007098330242222505,0.7932015306122449,,,,PRUNED
27,0.9457461734693877,2026-04-22 14:42:29.294727,2026-04-22 14:44:24.512290,0 days 00:01:55.217563,block_16,0.27349253549362973,2,256,0.001808209699854317,cosine,0.35446503411011476,1024,adamw,0.0005786160562871912,0.9452614795918367,,,,COMPLETE
28,0.8787627551020407,2026-04-22 14:44:24.650416,2026-04-22 14:44:36.477037,0 days 00:00:11.826621,pre_proj,0.34499462057966757,2,1024,0.0005539612109951229,constant,0.38159625778871276,256,adamw,0.005226045713186695,0.8573469387755103,0.8787627551020407,,,PRUNED
29,0.819311224489796,2026-04-22 14:44:36.610889,2026-04-22 14:44:42.773252,0 days 00:00:06.162363,block_20,0.3464995080823732,3,512,3.6395736600914534e-05,constant,0.3896706894339557,256,adamw,0.002779007757486424,0.819311224489796,,,,PRUNED
30,0.8802423469387755,2026-04-22 14:44:42.888659,2026-04-22 14:44:54.380761,0 days 00:00:11.492102,pre_proj,0.3458230395265236,2,512,0.0005752373984410135,cosine,0.2108964218694921,1024,adamw,0.0005502255837930981,0.8699107142857143,0.8802423469387755,,,PRUNED
31,0.8919515306122449,2026-04-22 14:44:54.506774,2026-04-22 14:45:23.043828,0 days 00:00:28.537054,pre_proj,0.29937721214151863,2,512,0.0005473057998648493,constant,0.386404712652799,1024,adamw,0.0023316295610458612,0.8919515306122449,,,,PRUNED
32,0.935063775510204,2026-04-22 14:45:23.161569,2026-04-22 14:45:51.887424,0 days 00:00:28.725855,block_16,0.3294565899788101,2,512,0.000350089935067185,constant,0.3778453687231845,256,adamw,0.0028174563401053986,0.8681505102040816,0.9205357142857142,0.935063775510204,,PRUNED
33,0.8973979591836735,2026-04-22 14:45:52.016042,2026-04-22 14:46:20.708911,0 days 00:00:28.692869,pre_proj,0.3319518900293221,2,256,0.0001904684829382889,constant,0.3005586897638049,512,adamw,0.0006214394065734794,0.8973979591836735,,,,PRUNED
34,0.930625,2026-04-22 14:46:20.824039,2026-04-22 14:47:41.818479,0 days 00:01:20.994440,block_20,0.22958930559176077,2,1024,6.107432573045544e-05,constant,0.29687410017846483,1024,adamw,0.0013930839238912526,0.930625,,,,PRUNED
35,0.9494005102040817,2026-04-22 14:47:41.960758,2026-04-22 14:49:36.230790,0 days 00:01:54.270032,block_16,0.2782650908217899,2,512,0.000254597233821723,constant,0.2447585773448674,512,adamw,0.0009131338756765675,0.8737882653061225,0.9214540816326531,0.9374362244897959,0.9475382653061224,COMPLETE
36,0.8938775510204082,2026-04-22 14:49:36.358658,2026-04-22 14:49:48.241973,0 days 00:00:11.883315,block_12,0.3776927171324332,3,512,0.00017254724811867846,constant,0.2170782065243015,512,adamw,0.001280997238096381,0.8938775510204082,,,,PRUNED
37,0.9467474489795918,2026-04-22 14:49:48.360785,2026-04-22 14:51:44.686402,0 days 00:01:56.325617,block_16,0.19801252700182836,3,512,0.00010509870959181784,constant,0.17447820902990888,512,adamw,0.0011152131160138406,0.9097959183673469,0.9368239795918367,0.949579081632653,,COMPLETE
38,0.9378443877551021,2026-04-22 14:51:44.825836,2026-04-22 14:53:04.433286,0 days 00:01:19.607450,block_16,0.15509315929471612,2,256,0.0010208269834795357,constant,0.2897207499869443,512,adamw,0.0008204177043196594,0.9012882653061225,0.9282142857142857,0.9374872448979592,0.9378443877551021,PRUNED
39,0.903954081632653,2026-04-22 14:53:04.579058,2026-04-22 14:53:16.166504,0 days 00:00:11.587446,block_16,0.3703384895858493,2,512,0.000250846520077723,constant,0.2209144786106218,512,adam,0.0017664761135028936,0.903954081632653,,,,PRUNED
40,0.8464285714285714,2026-04-22 14:53:16.303987,2026-04-22 14:53:22.649157,0 days 00:00:06.345170,block_16,0.3159891893313731,2,1024,0.00013665849369073795,constant,0.35485251403238627,512,adamw,0.0009275259850484691,0.8464285714285714,,,,PRUNED
41,0.9260204081632653,2026-04-22 14:53:22.792984,2026-04-22 14:53:51.279930,0 days 00:00:28.486946,block_20,0.33466989993079627,2,512,0.00033098927453848457,constant,0.21637396185002883,256,adamw,0.000939724360569586,0.8732142857142857,0.9212117346938775,0.9260204081632653,,PRUNED
42,0.8891326530612245,2026-04-22 14:53:51.411003,2026-04-22 14:54:20.060406,0 days 00:00:28.649403,pre_proj,0.391936041428678,2,512,0.00010643797898441423,constant,0.21733890990831256,1024,adam,0.000755202097992643,0.8891326530612245,,,,PRUNED
43,0.9473852040816326,2026-04-22 14:54:20.184294,2026-04-22 14:55:39.681184,0 days 00:01:19.496890,block_16,0.1847569171574565,2,512,0.0003728490984394775,constant,0.21780114998193592,256,adamw,0.0007332126607442313,0.9180739795918368,0.9347959183673469,0.9473852040816326,,PRUNED
44,0.8202806122448978,2026-04-22 14:55:39.797736,2026-04-22 14:55:45.695770,0 days 00:00:05.898034,block_16,0.33028453276255393,2,512,0.00012403887685529273,cosine,0.3401412792417506,512,adamw,0.0008416965414502902,0.8202806122448978,,,,PRUNED
45,0.8278316326530613,2026-04-22 14:55:45.825395,2026-04-22 14:55:51.886915,0 days 00:00:06.061520,block_20,0.2940628963027172,2,512,8.810604676091213e-05,constant,0.3944014966771207,1024,adam,0.0008616617032232746,0.8278316326530613,,,,PRUNED
46,0.8103571428571428,2026-04-22 14:55:52.016902,2026-04-22 14:55:58.056878,0 days 00:00:06.039976,block_16,0.28843939706844857,3,256,0.0002499840354899725,constant,0.23599030247343517,256,adam,0.0005340269419572586,0.8103571428571428,,,,PRUNED
47,0.9334183673469387,2026-04-22 14:55:58.180722,2026-04-22 14:56:26.574737,0 days 00:00:28.394015,block_16,0.35067115044110275,2,512,0.00179415107191785,constant,0.3760520605144123,256,adam,0.0006100482359859458,0.9132142857142856,0.9334183673469387,,,PRUNED
48,0.7853316326530613,2026-04-22 14:56:26.693969,2026-04-22 14:56:32.643370,0 days 00:00:05.949401,block_12,0.32492727892445394,2,512,5.3789389732104e-05,constant,0.29229470781349876,256,adamw,0.0015317987034132218,0.7853316326530613,,,,PRUNED
49,0.9331887755102041,2026-04-22 14:56:32.777448,2026-04-22 14:57:52.098881,0 days 00:01:19.321433,block_20,0.31869118704426264,2,512,0.0003249504931176661,cosine,0.365169623142352,1024,adamw,0.0011478651415913468,0.9350892857142857,0.9331887755102041,,,PRUNED
50,0.8192219387755102,2026-04-22 14:57:52.219223,2026-04-22 14:57:58.295012,0 days 00:00:06.075789,block_16,0.3304744252102163,2,512,0.00011719454334729519,constant,0.35168576068430835,512,adamw,0.001889541096756422,0.8192219387755102,,,,PRUNED
51,0.8194068877551021,2026-04-22 14:57:58.422066,2026-04-22 14:58:05.430819,0 days 00:00:07.008753,block_16,0.06965224779419309,3,1024,0.00031185282143870427,cosine,0.18025357681049808,512,adam,0.0017228302006119126,0.8194068877551021,,,,PRUNED
52,0.8810204081632653,2026-04-22 14:58:05.600535,2026-04-22 14:58:34.608288,0 days 00:00:29.007753,pre_proj,0.09057879087593565,2,512,0.0014327307617153606,cosine,0.12124108313948773,512,adam,0.007099041950893817,0.8810204081632653,,,,PRUNED
53,0.8295153061224491,2026-04-22 14:58:34.743748,2026-04-22 14:58:46.485206,0 days 00:00:11.741458,block_16,0.057186415798883936,2,512,0.00047033131245708673,constant,0.019658680799234905,256,adam,0.004115710039045644,0.8295153061224491,,,,PRUNED
54,0.7933418367346939,2026-04-22 14:58:46.606250,2026-04-22 14:58:52.725556,0 days 00:00:06.119306,block_16,0.04918260381978845,3,512,0.00019222628299624998,cosine,0.020915081958684835,512,adam,0.006154751543339354,0.7933418367346939,,,,PRUNED
55,0.9342219387755102,2026-04-22 14:58:52.847822,2026-04-22 15:00:12.721518,0 days 00:01:19.873696,block_20,0.04619353745243718,3,256,8.599747652985653e-05,cosine,0.07544355599321342,512,adam,0.0029752381232223215,0.9342219387755102,,,,PRUNED
56,0.9010204081632653,2026-04-22 15:00:12.847239,2026-04-22 15:00:24.376049,0 days 00:00:11.528810,block_12,0.08474816463521201,2,512,0.0003773360686380884,cosine,0.053398294711427055,512,adamw,0.004976534490552571,0.9010204081632653,,,,PRUNED
57,0.7676913265306122,2026-04-22 15:00:24.503960,2026-04-22 15:00:30.459244,0 days 00:00:05.955284,block_16,0.06275288564948936,2,256,0.00016671792589343357,cosine,0.04091039739166333,256,adam,0.00205513945692761,0.7676913265306122,,,,PRUNED
58,0.9492091836734695,2026-04-22 15:00:30.578556,2026-04-22 15:02:26.141799,0 days 00:01:55.563243,block_16,0.29198732101840486,2,512,0.00035629641792933294,constant,0.22064721591778186,512,adamw,0.001051518493320796,0.8798979591836735,0.9235969387755102,0.9370408163265306,0.9459438775510204,COMPLETE
59,0.7600127551020408,2026-04-22 15:02:26.257829,2026-04-22 15:03:46.499759,0 days 00:01:20.241930,block_16,0.38565257398531,2,512,0.004097241671496366,constant,0.14468215852889277,512,adamw,0.0007387843206262713,0.7600127551020408,,,,PRUNED
60,0.9327551020408164,2026-04-22 15:03:46.631194,2026-04-22 15:04:15.361102,0 days 00:00:28.729908,block_20,0.3796310751368526,3,256,0.0012366408735041314,constant,0.36925106861201923,256,adamw,0.001522496533362066,0.9168239795918368,0.9327551020408164,,,PRUNED
61,0.5701913265306123,2026-04-22 15:04:15.494667,2026-04-22 15:04:27.200316,0 days 00:00:11.705649,block_16,0.08315529507988242,2,512,0.0015460884315542816,cosine,0.13136373248310385,1024,adam,0.004342435663435376,0.5701913265306123,,,,PRUNED
62,0.9434438775510204,2026-04-22 15:04:27.341279,2026-04-22 15:06:23.698576,0 days 00:01:56.357297,block_16,0.30378604671369586,3,512,0.00034929915170065526,constant,0.2694068571252557,512,adamw,0.0007474253315536456,0.9260331632653062,0.9397448979591836,0.9524872448979591,,COMPLETE
63,0.9476530612244899,2026-04-22 15:06:23.827856,2026-04-22 15:08:21.834254,0 days 00:01:58.006398,block_16,0.3042997485565801,2,1024,0.0005223142096950553,constant,0.13057476893841663,512,adamw,0.0017677437265702237,0.9481632653061224,,,,COMPLETE
64,0.8980994897959184,2026-04-22 15:08:21.973209,2026-04-22 15:08:33.844552,0 days 00:00:11.871343,block_16,0.3305613098601858,2,512,0.00010069680775185944,constant,0.14678988398943393,1024,adamw,0.0005352198811577172,0.8980994897959184,,,,PRUNED
65,0.8944260204081633,2026-04-22 15:08:33.978288,2026-04-22 15:08:46.041445,0 days 00:00:12.063157,block_16,0.3509140385215666,2,1024,7.41976878008272e-05,constant,0.32928513780171875,256,adamw,0.0025895557887079517,0.8944260204081633,,,,PRUNED
66,0.8868622448979592,2026-04-22 15:08:46.180203,2026-04-22 15:09:14.975516,0 days 00:00:28.795313,pre_proj,0.27553296965383844,2,512,0.0001456547599349524,constant,0.26612740058655737,512,adamw,0.00199501633725686,0.8868622448979592,,,,PRUNED
67,0.9491198979591837,2026-04-22 15:09:15.094878,2026-04-22 15:11:10.377238,0 days 00:01:55.282360,block_16,0.13802097362382776,2,512,0.0006075812409547701,cosine,0.06463790412735422,512,adam,0.00277682140299252,0.9495025510204083,,,,COMPLETE
68,0.7385650510204081,2026-04-22 15:11:10.503261,2026-04-22 15:11:39.511529,0 days 00:00:29.008268,block_16,0.20503731353152077,2,256,0.002065546109559042,cosine,0.04892510968635146,512,adam,0.002864507826012576,0.7385650510204081,,,,PRUNED
69,0.9414668367346939,2026-04-22 15:11:39.629847,2026-04-22 15:12:59.637402,0 days 00:01:20.007555,block_16,0.19013842274112935,2,512,0.00041426303901677896,constant,0.02932818877898087,1024,adam,0.0012603761578633245,0.9414668367346939,,,,PRUNED
70,0.9448405612244898,2026-04-22 15:12:59.762850,2026-04-22 15:14:20.131231,0 days 00:01:20.368381,block_16,0.08937587711716627,2,512,0.0006795650558630353,constant,0.38139231123197515,1024,adamw,0.0009879497061316973,0.9374107142857142,0.9448405612244898,,,PRUNED
71,0.8641836734693878,2026-04-22 15:14:20.297586,2026-04-22 15:14:26.393466,0 days 00:00:06.095880,block_20,0.17368206978384587,3,512,0.00027578968774228947,cosine,0.15464629310229341,512,adam,0.0022537380126353476,0.8641836734693878,,,,PRUNED
72,0.9045280612244897,2026-04-22 15:14:26.512694,2026-04-22 15:14:38.081510,0 days 00:00:11.568816,block_16,0.059916389406697856,2,512,0.001109679482307193,cosine,0.06585650744077996,512,adam,0.002707169060696664,0.9045280612244897,,,,PRUNED
73,0.6461224489795919,2026-04-22 15:14:38.202252,2026-04-22 15:15:06.928569,0 days 00:00:28.726317,block_12,0.034795004276283334,2,512,0.001423459926989728,constant,0.10643390268167006,512,adam,0.003638609082700302,0.6461224489795919,,,,PRUNED
74,0.9138647959183673,2026-04-22 15:15:07.082174,2026-04-22 15:15:19.304202,0 days 00:00:12.222028,block_16,0.32666992743145895,2,1024,0.0009922313282041747,constant,0.3377702909616986,1024,adamw,0.0012693639525104888,0.890625,0.9138647959183673,,,PRUNED
75,0.5159183673469387,2026-04-22 15:15:19.459877,2026-04-22 15:15:25.545947,0 days 00:00:06.086070,block_16,0.27054498237259117,2,512,0.003759121361609682,constant,0.29559259748966055,512,adamw,0.0022188573244223265,0.5159183673469387,,,,PRUNED
76,0.7070535714285715,2026-04-22 15:15:25.669461,2026-04-22 15:15:31.680291,0 days 00:00:06.010830,block_16,0.10765788490723416,2,256,0.00015238552154425938,cosine,0.07810117628224873,512,adam,0.008781626464343504,0.7070535714285715,,,,PRUNED
77,0.8110586734693876,2026-04-22 15:15:31.812938,2026-04-22 15:15:43.504326,0 days 00:00:11.691388,block_16,0.2432398263730079,2,512,0.0003032867477301157,cosine,0.111081385682916,512,adam,0.0044384964700133435,0.8110586734693876,,,,PRUNED
78,0.7660076530612244,2026-04-22 15:15:43.628479,2026-04-22 15:15:49.548981,0 days 00:00:05.920502,block_12,0.07450460625838157,2,512,5.569919630149817e-05,cosine,0.020934858471668413,512,adam,0.002177178610430673,0.7660076530612244,,,,PRUNED
79,0.9476658163265306,2026-04-22 15:15:49.672798,2026-04-22 15:17:08.280579,0 days 00:01:18.607781,block_16,0.1635164731875837,2,512,0.0007089361936724966,cosine,0.11488463022509518,512,adamw,0.002341439818078133,0.9228826530612244,0.9371683673469388,0.9476658163265306,,PRUNED
80,0.9158290816326531,2026-04-22 15:17:08.398017,2026-04-22 15:17:20.033913,0 days 00:00:11.635896,block_16,0.3906985187267193,3,512,0.0004062741396926869,constant,0.3256769204275408,256,adamw,0.00112187508091405,0.8996811224489796,0.9158290816326531,,,PRUNED
81,0.9117729591836735,2026-04-22 15:17:20.153870,2026-04-22 15:17:32.869993,0 days 00:00:12.716123,block_16,0.30402101304097756,3,1024,0.00012869637824781374,constant,0.07144606749400509,512,adamw,0.0009259607500461588,0.9117729591836735,,,,PRUNED
82,0.7722959183673469,2026-04-22 15:17:33.033494,2026-04-22 15:17:44.661228,0 days 00:00:11.627734,block_16,0.32441536340705607,3,256,4.660752909785286e-05,constant,0.36169442334423735,1024,adamw,0.0007102828758055756,0.7722959183673469,,,,PRUNED
83,0.9436479591836735,2026-04-22 15:17:44.790918,2026-04-22 15:19:05.678279,0 days 00:01:20.887361,block_16,0.2902136555212814,2,1024,0.0007534776145938998,constant,0.19054478387612359,512,adamw,0.0026794531667631858,0.9245535714285714,0.9376020408163265,0.9436479591836735,,PRUNED
84,0.9352168367346938,2026-04-22 15:19:05.830478,2026-04-22 15:19:37.593042,0 days 00:00:31.762564,block_16,0.28270548722278893,3,1024,0.000364555158723426,constant,0.11132930381091805,1024,adamw,0.002050161427094264,0.9141836734693878,0.9352168367346938,,,PRUNED
85,0.8225892857142857,2026-04-22 15:19:37.752663,2026-04-22 15:19:43.740237,0 days 00:00:05.987574,block_16,0.25538067654441843,2,512,9.825561069100787e-05,constant,0.34278172009524566,1024,adamw,0.0010447470320194658,0.8225892857142857,,,,PRUNED
86,0.8374744897959182,2026-04-22 15:19:43.878106,2026-04-22 15:19:49.803401,0 days 00:00:05.925295,block_16,0.20042887121331987,2,256,0.0002716489735744571,constant,0.04559232022686112,512,adamw,0.003398157160831322,0.8374744897959182,,,,PRUNED
87,0.505280612244898,2026-04-22 15:19:49.920006,2026-04-22 15:19:56.335368,0 days 00:00:06.415362,pre_proj,0.35639503100362885,2,1024,0.0023413986065381164,constant,0.030518360962161997,512,adamw,0.002644108858693277,0.505280612244898,,,,PRUNED
88,0.9170918367346939,2026-04-22 15:19:56.485630,2026-04-22 15:20:25.485358,0 days 00:00:28.999728,block_12,0.3982664605394316,2,512,0.0001689458471675642,constant,0.279422551591329,1024,adamw,0.00140387825304838,0.9170918367346939,,,,PRUNED
89,0.9349617346938776,2026-04-22 15:20:25.615175,2026-04-22 15:20:54.366589,0 days 00:00:28.751414,block_16,0.24018204725190234,2,512,0.0001838044509667092,constant,0.31861757669719254,512,adam,0.0005172120411887792,0.9137117346938775,0.9349617346938776,,,PRUNED
90,0.5,2026-04-22 15:20:54.483533,2026-04-22 15:22:20.692553,0 days 00:01:26.209020,block_16,0.17102430846242672,3,1024,0.0006419961036447286,cosine,0.07175607060418582,256,adam,0.005607763479002232,0.5,,,,PRUNED
91,0.9253954081632654,2026-04-22 15:22:20.864060,2026-04-22 15:22:49.823447,0 days 00:00:28.959387,block_16,0.21005239875756598,2,512,6.699533172018292e-05,constant,0.18788389785181825,512,adamw,0.0007989478558235767,0.9253954081632654,,,,PRUNED
92,0.9000510204081633,2026-04-22 15:22:49.942053,2026-04-22 15:23:01.995948,0 days 00:00:12.053895,block_16,0.32979640185178544,2,1024,0.00041505628151876925,constant,0.14918880692161554,256,adam,0.002186915509660945,0.9000510204081633,,,,PRUNED
93,0.9102040816326531,2026-04-22 15:23:02.140988,2026-04-22 15:23:14.277220,0 days 00:00:12.136232,block_12,0.25918418111093444,2,1024,0.0012208602468773372,constant,0.07232928422701687,512,adamw,0.0010013347550865469,0.9102040816326531,,,,PRUNED
94,0.9127933673469387,2026-04-22 15:23:14.417396,2026-04-22 15:23:26.355193,0 days 00:00:11.937797,block_16,0.2586943949457089,2,512,0.0011855282072116991,constant,0.29104750636766286,1024,adam,0.001292242790561271,0.9127933673469387,,,,PRUNED
95,0.7693622448979592,2026-04-22 15:23:26.487379,2026-04-22 15:23:32.460707,0 days 00:00:05.973328,block_16,0.3453899797163322,2,512,0.0001466440138474667,constant,0.3743665024577811,256,adam,0.002770126483580258,0.7693622448979592,,,,PRUNED
96,0.8117665816326531,2026-04-22 15:23:32.587146,2026-04-22 15:23:38.743572,0 days 00:00:06.156426,block_16,0.20601125942862644,3,512,8.444534738441096e-05,constant,0.2311427025254463,512,adamw,0.0027831219090930334,0.8117665816326531,,,,PRUNED
97,0.9187627551020409,2026-04-22 15:23:38.864013,2026-04-22 15:23:50.721442,0 days 00:00:11.857429,block_16,0.33177428362520367,2,512,0.0003947402349484152,cosine,0.26630759981297625,1024,adamw,0.0008228603088427486,0.8955867346938776,0.9187627551020409,,,PRUNED
98,0.8996301020408163,2026-04-22 15:23:50.858873,2026-04-22 15:24:02.706099,0 days 00:00:11.847226,block_12,0.2334822697203712,3,512,0.0003823938802333044,constant,0.1881191953246507,512,adam,0.0008378791361244944,0.8996301020408163,,,,PRUNED
99,0.9117474489795918,2026-04-22 15:24:02.836097,2026-04-22 15:24:15.076044,0 days 00:00:12.239947,block_16,0.3398057010568753,2,1024,0.0008653909226578043,cosine,0.09919798028093763,512,adamw,0.0013686599642492676,0.9117474489795918,,,,PRUNED
100,0.9199744897959183,2026-04-22 15:24:15.227551,2026-04-22 15:24:27.080747,0 days 00:00:11.853196,block_16,0.3260362085728396,2,256,0.0005694211878169255,constant,0.16234679721964923,512,adamw,0.0007366263405841919,0.8829719387755102,0.9199744897959183,,,PRUNED
101,0.8504209183673469,2026-04-22 15:24:27.216081,2026-04-22 15:24:33.316415,0 days 00:00:06.100334,pre_proj,0.3705535472263029,3,512,0.0013093609554950094,cosine,0.3536541901054825,256,adamw,0.0014832181959476371,0.8504209183673469,,,,PRUNED
