number,value,datetime_start,datetime_complete,duration,params_attn_dropout,params_clip_layer,params_dim_feedforward,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_n_heads,params_num_layers,params_optimizer_type,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
26,0.9351275510204082,2026-04-21 21:45:34.472551,2026-04-21 21:46:08.430436,0 days 00:00:33.957885,0.5860674858995475,block_16,1024,6.966357567023274e-05,cosine,0.3003713019688073,1024,16,10,adam,0.00010883005667401887,0.9351275510204082,,,,PRUNED
27,0.8448852040816326,2026-04-21 21:46:08.607187,2026-04-21 21:46:17.316704,0 days 00:00:08.709517,0.5268548079220718,block_16,1024,6.69757358374568e-05,cosine,0.39896882789964694,2048,16,14,adam,7.506287646750857e-06,0.8448852040816326,,,,PRUNED
28,0.7585076530612245,2026-04-21 21:46:17.493072,2026-04-21 21:46:24.967040,0 days 00:00:07.473968,0.6503940067896429,block_16,1024,2.8579415010792972e-05,cosine,0.33428244194680495,512,16,11,adam,1.888706560484971e-05,0.7585076530612245,,,,PRUNED
29,0.9479464285714286,2026-04-21 21:46:25.113320,2026-04-21 21:48:22.001020,0 days 00:01:56.887700,0.616250980384692,block_16,1024,9.531259337537711e-05,cosine,0.321691006341728,1024,32,13,adam,2.707339755256301e-06,0.9147193877551021,0.9362755102040816,0.9479464285714286,,PRUNED
30,0.8467346938775511,2026-04-21 21:48:22.176061,2026-04-21 21:48:28.868815,0 days 00:00:06.692754,0.6314598100167075,block_16,1024,0.00020683827639898954,cosine,0.33586947633352254,1024,2,10,adam,0.05458832855701513,0.8467346938775511,,,,PRUNED
31,0.9072448979591836,2026-04-21 21:48:29.030078,2026-04-21 21:48:42.226393,0 days 00:00:13.196315,0.6775953551788017,block_16,1024,5.664290453036545e-05,cosine,0.39699019695958515,1024,2,10,adam,9.530475348564037e-06,0.8609948979591836,0.9072448979591836,,,PRUNED
32,0.9027678571428571,2026-04-21 21:48:42.393935,2026-04-21 21:48:55.488147,0 days 00:00:13.094212,0.4821282883678714,block_16,1024,0.0001525248251131789,cosine,0.26189691576104407,2048,2,10,adam,0.01177592463203937,0.9027678571428571,,,,PRUNED
33,0.9461479591836734,2026-04-21 21:48:55.650770,2026-04-21 21:50:20.554827,0 days 00:01:24.904057,0.6281530102033115,block_16,1024,0.00011193915710792816,cosine,0.3343966599712647,512,8,9,adam,0.00037991493970007586,0.9085714285714287,0.9381887755102041,0.9461479591836734,,PRUNED
34,0.8266454081632654,2026-04-21 21:50:20.795469,2026-04-21 21:50:28.484672,0 days 00:00:07.689203,0.5881432532937406,block_16,1024,0.0001289085586410138,cosine,0.33852498621471233,2048,2,13,adam,0.004915005104584028,0.8266454081632654,,,,PRUNED
35,0.9526275510204083,2026-04-21 21:50:28.658465,2026-04-21 21:52:50.241029,0 days 00:02:21.582564,0.5387070751315156,block_16,1024,0.00019144088184831775,cosine,0.14284856903244347,1024,8,12,adam,0.01436404781102117,0.8607142857142858,0.9150510204081632,0.934030612244898,0.9500892857142857,COMPLETE
36,0.9353698979591837,2026-04-21 21:52:50.391312,2026-04-21 21:53:24.278596,0 days 00:00:33.887284,0.531463156805357,block_16,1024,0.00021404927910510468,cosine,0.15278958265592965,1024,8,11,adam,0.007332653030818758,0.9353698979591837,,,,PRUNED
37,0.9344897959183673,2026-04-21 21:53:24.445709,2026-04-21 21:54:01.633774,0 days 00:00:37.188065,0.6224753476447762,block_16,1024,6.130056941042856e-05,cosine,0.10466208852619353,1024,8,13,adam,0.009928510218680431,0.9158163265306122,0.9344897959183673,,,PRUNED
38,0.9075255102040817,2026-04-21 21:54:01.812233,2026-04-21 21:54:14.394279,0 days 00:00:12.582046,0.5877236924750259,block_16,1024,8.930957764173213e-05,cosine,0.20891502971583792,3072,16,8,adam,4.5124742879114015e-06,0.8582780612244898,0.9075255102040817,,,PRUNED
39,0.893813775510204,2026-04-21 21:54:14.545607,2026-04-21 21:54:27.925799,0 days 00:00:13.380192,0.6487694010358204,block_16,1024,7.051695317136039e-05,cosine,0.20467785156964835,2048,8,10,adam,0.09733741235368602,0.893813775510204,,,,PRUNED
40,0.9527168367346939,2026-04-21 21:54:28.096215,2026-04-21 21:57:04.664999,0 days 00:02:36.568784,0.6090894690361598,block_16,1024,0.00018640701289300785,cosine,0.2097415662471938,512,2,14,adam,0.010906535332275199,0.9107780612244898,0.9367219387755102,0.9500765306122447,,COMPLETE
41,0.8181122448979592,2026-04-21 21:57:04.816892,2026-04-21 21:57:12.909161,0 days 00:00:08.092269,0.56477008152142,block_16,1024,0.00018384068560168719,cosine,0.18427971394074405,512,2,14,adam,0.0030381488002149287,0.8181122448979592,,,,PRUNED
42,0.8736479591836736,2026-04-21 21:57:13.085720,2026-04-21 21:57:29.081616,0 days 00:00:15.995896,0.6036077926144567,block_16,1024,0.00029634523785333354,cosine,0.1098542813777226,512,8,14,adam,0.02432173567412227,0.8736479591836736,,,,PRUNED
43,0.8073214285714286,2026-04-21 21:57:29.250103,2026-04-21 21:57:36.818351,0 days 00:00:07.568248,0.5865760180294443,block_16,1024,0.00019787100806273344,cosine,0.2595310839135734,3072,2,12,adam,0.021182539241782174,0.8073214285714286,,,,PRUNED
44,0.8366326530612245,2026-04-21 21:57:36.989508,2026-04-21 21:57:44.989219,0 days 00:00:07.999711,0.517868056441395,block_16,1024,0.0001400524480129293,cosine,0.17630173128071622,512,32,11,adam,0.045597942715552155,0.8366326530612245,,,,PRUNED
45,0.9048596938775509,2026-04-21 21:57:45.151676,2026-04-21 21:58:00.988941,0 days 00:00:15.837265,0.5734981854342255,block_16,1024,0.00011766754755429123,cosine,0.3033259863945187,512,16,13,adam,0.0011558552983628356,0.9048596938775509,,,,PRUNED
46,0.9022448979591836,2026-04-21 21:58:01.138761,2026-04-21 21:58:16.937155,0 days 00:00:15.798394,0.6587113699027929,block_16,1024,0.00019212047329064476,cosine,0.150938665987357,1024,16,13,adam,0.018104472355567107,0.9022448979591836,,,,PRUNED
47,0.9073852040816327,2026-04-21 21:58:17.118863,2026-04-21 21:58:33.014624,0 days 00:00:15.895761,0.5886826953314007,block_16,1024,3.974112798019761e-05,cosine,0.30479462820150177,1024,16,13,adam,3.2950355909827415e-06,0.8590816326530613,0.9073852040816327,,,PRUNED
48,0.9298852040816327,2026-04-21 21:58:33.186447,2026-04-21 21:59:07.035013,0 days 00:00:33.848566,0.6578147839426407,block_16,1024,3.586972636494345e-05,cosine,0.302207150005973,512,8,11,adam,0.0001667624777705269,0.9298852040816327,,,,PRUNED
49,0.9536224489795918,2026-04-21 21:59:07.204575,2026-04-21 22:01:22.211399,0 days 00:02:15.006824,0.4467477778737835,block_16,1024,0.00011424160004638848,cosine,0.21865081769034095,1024,16,10,adam,0.04789737556654645,0.9500382653061225,,,,COMPLETE
50,0.8328061224489794,2026-04-21 22:01:22.374977,2026-04-21 22:01:30.217312,0 days 00:00:07.842335,0.42006723490745734,block_16,1024,7.072701194129023e-05,cosine,0.22109067559832773,3072,16,12,adam,0.02956251252553779,0.8328061224489794,,,,PRUNED
51,0.8463520408163265,2026-04-21 22:01:30.380537,2026-04-21 22:01:37.013766,0 days 00:00:06.633229,0.46787547724340306,block_16,1024,0.0001908816033918751,cosine,0.24202004911390057,1024,16,9,adam,0.030461111137432526,0.8463520408163265,,,,PRUNED
52,0.7344132653061225,2026-04-21 22:01:37.196931,2026-04-21 22:01:44.024738,0 days 00:00:06.827807,0.6726370193202699,block_16,1024,2.7668823670807466e-05,cosine,0.39368922583561233,512,8,10,adam,0.0057906443255490835,0.7344132653061225,,,,PRUNED
53,0.929859693877551,2026-04-21 22:01:44.202566,2026-04-21 22:02:14.629550,0 days 00:00:30.426984,0.2923057639741897,block_16,1024,0.00010413051283936412,cosine,0.25461187002601515,2048,16,8,adam,0.014368069884449011,0.9099744897959184,0.929859693877551,,,PRUNED
54,0.8418239795918367,2026-04-21 22:02:14.797316,2026-04-21 22:02:22.596509,0 days 00:00:07.799193,0.4306436874042121,block_16,1024,0.00011737784287676116,cosine,0.17778069507852587,1024,16,12,adam,0.002406977570139528,0.8418239795918367,,,,PRUNED
55,0.9334056122448979,2026-04-21 22:02:22.754809,2026-04-21 22:02:54.673406,0 days 00:00:31.918597,0.40559234049794196,block_16,1024,0.00011791267529899982,cosine,0.200976668212108,1024,32,8,adam,0.026218908611326208,0.8642219387755101,0.9138903061224489,0.9334056122448979,,PRUNED
56,0.8472576530612245,2026-04-21 22:02:54.831433,2026-04-21 22:03:01.597734,0 days 00:00:06.766301,0.46972275373248074,block_16,1024,5.6412062116654805e-05,cosine,0.04768295808245812,1024,16,9,adam,0.0750395127394502,0.8472576530612245,,,,PRUNED
57,0.9012627551020409,2026-04-21 22:03:01.764962,2026-04-21 22:03:17.045025,0 days 00:00:15.280063,0.6968540833274318,block_16,1024,5.99574627067279e-05,cosine,0.30081013920875216,1024,2,13,adam,0.014882547627959306,0.9012627551020409,,,,PRUNED
58,0.8477933673469389,2026-04-21 22:03:17.243582,2026-04-21 22:03:25.595213,0 days 00:00:08.351631,0.44497442906052187,block_16,1024,0.0003291935994068718,cosine,0.08940067227130834,1024,32,12,adam,0.0037628216411687843,0.8477933673469389,,,,PRUNED
59,0.8364030612244898,2026-04-21 22:03:25.771940,2026-04-21 22:03:33.941755,0 days 00:00:08.169815,0.49278560853238673,block_16,1024,7.601077772329669e-05,cosine,0.23283807601406822,512,8,14,adam,0.06652879847089813,0.8364030612244898,,,,PRUNED
60,0.816109693877551,2026-04-21 22:03:34.101440,2026-04-21 22:03:41.373927,0 days 00:00:07.272487,0.5895899088691624,block_16,1024,6.412029039194416e-05,cosine,0.28908282233460975,2048,2,11,adam,0.09571952477482391,0.816109693877551,,,,PRUNED
61,0.8281887755102041,2026-04-21 22:03:41.550348,2026-04-21 22:03:50.332598,0 days 00:00:08.782250,0.22833514743066485,block_16,1024,0.00012039252323087193,cosine,0.32758633407246207,2048,32,13,adam,0.007565006963632512,0.8281887755102041,,,,PRUNED
62,0.8392984693877551,2026-04-21 22:03:50.522653,2026-04-21 22:03:58.219980,0 days 00:00:07.697327,0.45928523825234396,block_16,1024,0.00019248601194643875,cosine,0.1816608289317984,2048,8,12,adam,0.005477371330951397,0.8392984693877551,,,,PRUNED
63,0.8355994897959181,2026-04-21 22:03:58.404732,2026-04-21 22:04:06.013955,0 days 00:00:07.609223,0.4571267308039521,block_16,1024,0.00022584899488423571,cosine,0.29930107688634844,512,2,12,adam,0.0087982846183118,0.8355994897959181,,,,PRUNED
64,0.9100255102040816,2026-04-21 22:04:06.171218,2026-04-21 22:04:19.401036,0 days 00:00:13.229818,0.5280921162459203,block_16,1024,8.253998633355349e-05,cosine,0.09943843063818997,3072,8,10,adam,0.008950899663556932,0.8626913265306123,0.9100255102040816,,,PRUNED
65,0.7905612244897959,2026-04-21 22:04:19.563246,2026-04-21 22:04:27.941005,0 days 00:00:08.377759,0.6959782326816242,block_16,1024,5.475805216740666e-05,cosine,0.3861351310367395,512,32,12,adam,0.00018508655478419907,0.7905612244897959,,,,PRUNED
66,0.838125,2026-04-21 22:04:28.103849,2026-04-21 22:04:36.923076,0 days 00:00:08.819227,0.678489662470807,block_16,1024,0.00015285395932095825,cosine,0.1753662350958552,512,32,13,adam,0.00022552626204583009,0.838125,,,,PRUNED
67,0.8062244897959184,2026-04-21 22:04:37.068090,2026-04-21 22:04:44.710027,0 days 00:00:07.641937,0.6269276666161754,block_16,1024,5.028159936000766e-05,cosine,0.33313651158134316,3072,8,12,adam,0.0013276323748848758,0.8062244897959184,,,,PRUNED
68,0.8105484693877552,2026-04-21 22:04:44.885122,2026-04-21 22:05:00.821701,0 days 00:00:15.936579,0.6249609884256251,block_16,1024,0.00037557837790696874,cosine,0.2930252634470534,512,2,14,adam,0.06993862000208806,0.8105484693877552,,,,PRUNED
69,0.8388647959183674,2026-04-21 22:05:00.992233,2026-04-21 22:05:07.902256,0 days 00:00:06.910023,0.3486769287057448,block_16,1024,0.0002005048625703342,cosine,0.3053426149129982,1024,2,10,adam,0.06829639197941074,0.8388647959183674,,,,PRUNED
70,0.9470408163265306,2026-04-21 22:05:08.067053,2026-04-21 22:06:46.378349,0 days 00:01:38.311296,0.579328845766637,block_16,1024,0.00015548114220153842,cosine,0.3768988472928746,1024,16,11,adam,3.75331603918824e-06,0.8625765306122448,0.9202295918367347,0.9355739795918367,0.9470408163265306,PRUNED
71,0.9020408163265307,2026-04-21 22:06:46.533453,2026-04-21 22:06:59.163984,0 days 00:00:12.630531,0.42873827694434097,block_16,1024,9.9458435003123e-05,cosine,0.04767767037783864,3072,8,7,adam,1.564599511744802e-06,0.8706505102040816,0.9020408163265307,,,PRUNED
72,0.8280484693877551,2026-04-21 22:06:59.388531,2026-04-21 22:07:06.319511,0 days 00:00:06.930980,0.48238764713771987,block_16,1024,5.5049068471399036e-05,cosine,0.11285204115052089,3072,32,8,adam,1.5894705089916663e-05,0.8280484693877551,,,,PRUNED
73,0.8344005102040816,2026-04-21 22:07:06.486666,2026-04-21 22:07:13.174429,0 days 00:00:06.687763,0.6039547994627564,block_16,1024,2.5967524604254613e-05,cosine,0.0418879498939486,1024,8,7,adam,1.7410777000084317e-05,0.8344005102040816,,,,PRUNED
74,0.9491836734693877,2026-04-21 22:07:13.360774,2026-04-21 22:08:54.312067,0 days 00:01:40.951293,0.6142572853649465,block_16,1024,0.0003790919596199973,cosine,0.15616943225563595,3072,8,12,adam,0.0030282693935439844,0.9383163265306123,0.9491836734693877,,,PRUNED
75,0.8977040816326531,2026-04-21 22:08:54.501523,2026-04-21 22:09:07.273808,0 days 00:00:12.772285,0.6090619574113276,block_16,1024,8.92553741821076e-05,cosine,0.006372346475518112,3072,8,6,adam,4.70528599316295e-05,0.8977040816326531,,,,PRUNED
76,0.9328571428571429,2026-04-21 22:09:07.427693,2026-04-21 22:09:38.693685,0 days 00:00:31.265992,0.467759164376143,block_16,1024,4.148734521633032e-05,cosine,0.04893721574330135,2048,8,6,adam,3.2499261193184653e-06,0.9094260204081632,0.9328571428571429,,,PRUNED
77,0.9084183673469388,2026-04-21 22:09:38.941910,2026-04-21 22:09:53.168224,0 days 00:00:14.226314,0.3968484243451586,block_16,1024,7.501194330423005e-05,cosine,0.3945969065683733,2048,2,11,adam,0.00023330911934462255,0.9084183673469388,,,,PRUNED
78,0.9350510204081632,2026-04-21 22:09:53.326743,2026-04-21 22:10:32.430617,0 days 00:00:39.103874,0.5925772473342565,block_16,1024,0.00035042364194212255,cosine,0.14546404291117787,1024,2,14,adam,0.020121948069692662,0.9151913265306122,0.9350510204081632,,,PRUNED
79,0.8348086734693878,2026-04-21 22:10:32.614179,2026-04-21 22:10:39.377502,0 days 00:00:06.763323,0.4638370888372214,block_16,1024,3.608189758946637e-05,cosine,0.011299850061159418,3072,16,9,adam,7.272266973624788e-05,0.8348086734693878,,,,PRUNED
80,0.9527551020408163,2026-04-21 22:10:39.625898,2026-04-21 22:13:22.210783,0 days 00:02:42.584885,0.42828214404725024,block_16,1024,7.189942773778247e-05,cosine,0.3277899180114472,1024,32,12,adam,0.0029346755688820342,0.9512755102040816,,,,COMPLETE
81,0.9062500000000001,2026-04-21 22:13:22.366544,2026-04-21 22:13:39.381842,0 days 00:00:17.015298,0.3727371343272796,block_16,1024,5.655221419334548e-05,cosine,0.3273062932227202,512,32,13,adam,0.0024170707939880453,0.9062500000000001,,,,PRUNED
82,0.9336989795918368,2026-04-21 22:13:39.642409,2026-04-21 22:14:22.581751,0 days 00:00:42.939342,0.3685159501594648,block_16,1024,0.0002522123850461305,cosine,0.30211797309612104,1024,32,13,adam,0.02911690661289708,0.9336989795918368,,,,PRUNED
83,0.9341964285714286,2026-04-21 22:14:22.785697,2026-04-21 22:15:03.930848,0 days 00:00:41.145151,0.4120590922183596,block_16,1024,5.9553316860640994e-05,cosine,0.2938452055365161,1024,32,12,adam,0.0010171374568700518,0.9145790816326531,0.9341964285714286,,,PRUNED
84,0.8292984693877551,2026-04-21 22:15:04.121319,2026-04-21 22:15:10.720059,0 days 00:00:06.598740,0.44890331406094974,block_16,1024,5.412120763439837e-05,cosine,0.20831107897293136,3072,8,8,adam,6.134160827843219e-05,0.8292984693877551,,,,PRUNED
85,0.9242346938775511,2026-04-21 22:15:10.886778,2026-04-21 22:15:56.388547,0 days 00:00:45.501769,0.5924456579018579,block_16,1024,9.085597173314668e-05,cosine,0.202815694774281,2048,32,14,adam,0.09841065167457687,0.9242346938775511,,,,PRUNED
86,0.9535841836734694,2026-04-21 22:15:56.640441,2026-04-21 22:18:30.246091,0 days 00:02:33.605650,0.5042602632836986,block_16,1024,0.00016623154219004048,cosine,0.15076894121670817,1024,8,13,adam,0.05007856935949306,0.8765688775510204,0.9143877551020408,0.9346556122448979,0.9514158163265305,COMPLETE
87,0.9493877551020409,2026-04-21 22:18:30.387206,2026-04-21 22:20:21.169010,0 days 00:01:50.781804,0.4858906095875677,block_16,1024,0.00015827547370396878,cosine,0.07626885449013561,1024,8,14,adam,0.0029568787764382948,0.8644387755102041,0.9156377551020408,0.9377295918367348,0.9493877551020409,PRUNED
88,0.9078954081632653,2026-04-21 22:20:21.340305,2026-04-21 22:20:35.529199,0 days 00:00:14.188894,0.3183454978227617,block_16,1024,5.9782497756789634e-05,cosine,0.30750671739242663,2048,2,11,adam,0.05471151760754768,0.9078954081632653,,,,PRUNED
89,0.9064540816326531,2026-04-21 22:20:35.690064,2026-04-21 22:20:48.518903,0 days 00:00:12.828839,0.4374372223869593,block_16,1024,5.4766415785181015e-05,cosine,0.39945107077049613,1024,8,9,adam,0.0008731794046992515,0.856670918367347,0.9064540816326531,,,PRUNED
90,0.8206632653061225,2026-04-21 22:20:48.712252,2026-04-21 22:20:57.320857,0 days 00:00:08.608605,0.6722743135331686,block_16,1024,0.00017714290822322902,cosine,0.2135653105339164,2048,2,14,adam,0.00978890065789071,0.8206632653061225,,,,PRUNED
91,0.8359566326530613,2026-04-21 22:20:57.469152,2026-04-21 22:21:04.269953,0 days 00:00:06.800801,0.4976570721531746,block_16,1024,3.804747337379511e-05,cosine,0.0315187913140105,3072,8,9,adam,7.3944350375727745e-06,0.8359566326530613,,,,PRUNED
92,0.8441709183673468,2026-04-21 22:21:04.544583,2026-04-21 22:21:12.665147,0 days 00:00:08.120564,0.6733789843390763,block_16,1024,0.00011466662931865687,cosine,0.21358277887545105,2048,16,12,adam,0.02853824549449414,0.8441709183673468,,,,PRUNED
93,0.8382525510204082,2026-04-21 22:21:12.821215,2026-04-21 22:21:19.698069,0 days 00:00:06.876854,0.5963850208166559,block_16,1024,0.00022034405187691496,cosine,0.16474398833871393,512,2,10,adam,0.06897821205888205,0.8382525510204082,,,,PRUNED
94,0.905765306122449,2026-04-21 22:21:19.866682,2026-04-21 22:21:36.224034,0 days 00:00:16.357352,0.46711693771382135,block_16,1024,0.00015468520760378732,cosine,0.24381129277599303,1024,8,14,adam,0.03198258555001017,0.905765306122449,,,,PRUNED
95,0.8291198979591837,2026-04-21 22:21:36.401644,2026-04-21 22:21:44.132711,0 days 00:00:07.731067,0.4295052466778187,block_16,1024,0.000280384018928069,cosine,0.3381592610093789,2048,16,11,adam,0.0016009726246310901,0.8291198979591837,,,,PRUNED
96,0.9477933673469388,2026-04-21 22:21:44.329377,2026-04-21 22:23:20.333315,0 days 00:01:36.003938,0.6318721721667779,block_16,1024,5.7819489844303706e-05,cosine,0.3879840724801783,1024,8,11,adam,0.0001340780304357379,0.9477933673469388,,,,PRUNED
97,0.6610841836734694,2026-04-21 22:23:20.491452,2026-04-21 22:23:28.917508,0 days 00:00:08.426056,0.4299526922009946,block_16,1024,0.0004461229558035222,cosine,0.1957555328642076,2048,2,14,adam,0.001746370773885699,0.6610841836734694,,,,PRUNED
98,0.9504591836734694,2026-04-21 22:23:29.074695,2026-04-21 22:25:03.101861,0 days 00:01:34.027166,0.3907310287632649,block_16,1024,0.00019485699097695366,cosine,0.2703858702157602,512,16,10,adam,0.03013333918648352,0.9504591836734694,,,,PRUNED
