number,value,datetime_start,datetime_complete,duration,params_clip_layer,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,state
26,0.9212372448979592,2026-04-21 16:25:23.412070,2026-04-21 16:26:27.334609,0 days 00:01:03.922539,block_16,0.00550196078924606,constant,0.2564725783756491,3072,adamw,PRUNED
27,0.9047448979591837,2026-04-21 16:26:27.478078,2026-04-21 16:26:48.009542,0 days 00:00:20.531464,block_16,0.06983350804928905,constant,0.08919164094935059,2048,adamw,PRUNED
28,0.9128316326530611,2026-04-21 16:26:48.163094,2026-04-21 16:27:08.811879,0 days 00:00:20.648785,block_16,0.007662529346434402,constant,0.08064088316938153,3072,adamw,PRUNED
29,0.9013392857142857,2026-04-21 16:27:08.968081,2026-04-21 16:27:26.732590,0 days 00:00:17.764509,block_16,0.0427151408752474,constant,0.3578648743542794,1024,adamw,PRUNED
30,0.9157142857142857,2026-04-21 16:27:26.895344,2026-04-21 16:27:50.275198,0 days 00:00:23.379854,block_16,0.014603133975209672,constant,0.38996958754350497,4096,adamw,PRUNED
31,0.894859693877551,2026-04-21 16:27:50.426196,2026-04-21 16:28:08.098151,0 days 00:00:17.671955,block_16,0.03800607804614055,constant,0.15298456015501477,1024,adamw,PRUNED
32,0.9135969387755102,2026-04-21 16:28:08.244471,2026-04-21 16:28:28.664599,0 days 00:00:20.420128,block_16,0.02000123737659074,constant,0.20257249540947814,1024,adamw,PRUNED
33,0.9044897959183673,2026-04-21 16:28:28.794783,2026-04-21 16:28:46.279746,0 days 00:00:17.484963,block_16,0.02816878985708169,constant,0.14228228013981956,4096,adamw,PRUNED
34,0.9062117346938775,2026-04-21 16:28:46.421294,2026-04-21 16:29:03.925511,0 days 00:00:17.504217,block_16,0.025962406435920272,constant,0.15955204900497988,3072,adamw,PRUNED
35,0.9076785714285713,2026-04-21 16:29:04.103699,2026-04-21 16:29:21.698081,0 days 00:00:17.594382,block_16,0.008561789494257715,constant,0.30073213641051,1024,adamw,PRUNED
36,0.9117219387755102,2026-04-21 16:29:21.860428,2026-04-21 16:29:42.152262,0 days 00:00:20.291834,block_16,0.02053542584015198,constant,0.09542078462911396,2048,adamw,PRUNED
37,0.9136224489795919,2026-04-21 16:29:42.293411,2026-04-21 16:30:02.698276,0 days 00:00:20.404865,block_16,0.00762619563480763,constant,0.3737541966970929,1024,adamw,PRUNED
38,0.9051147959183673,2026-04-21 16:30:02.843667,2026-04-21 16:30:20.325148,0 days 00:00:17.481481,block_16,0.015496988754417927,constant,0.1265519941184288,1024,adamw,PRUNED
39,0.9173341836734694,2026-04-21 16:30:20.472174,2026-04-21 16:30:46.739844,0 days 00:00:26.267670,block_16,0.013392923532154878,constant,0.19791172376613553,4096,adamw,PRUNED
40,0.9053443877551021,2026-04-21 16:30:46.887394,2026-04-21 16:31:04.423694,0 days 00:00:17.536300,block_16,0.03437502842079749,constant,0.25892939419943484,1024,adamw,PRUNED
41,0.9080484693877551,2026-04-21 16:31:04.569337,2026-04-21 16:31:22.042052,0 days 00:00:17.472715,block_16,0.005221032470515049,constant,0.24589974044888918,1024,adamw,PRUNED
42,0.9186479591836735,2026-04-21 16:31:22.189009,2026-04-21 16:31:48.555878,0 days 00:00:26.366869,block_16,0.005939910165107338,constant,0.19775336638897878,4096,adamw,PRUNED
43,0.9311224489795918,2026-04-21 16:31:48.711439,2026-04-21 16:33:02.807141,0 days 00:01:14.095702,block_16,0.007599423045680478,constant,0.2206590839625774,1024,adamw,COMPLETE
44,0.9061607142857144,2026-04-21 16:33:02.964007,2026-04-21 16:33:20.547468,0 days 00:00:17.583461,block_16,0.008453184050741415,constant,0.21016862529495617,1024,adamw,PRUNED
45,0.9307525510204081,2026-04-21 16:33:20.690204,2026-04-21 16:34:34.340683,0 days 00:01:13.650479,block_16,0.005339320638342062,constant,0.1328631448358368,1024,adamw,COMPLETE
46,0.9127551020408163,2026-04-21 16:34:34.475412,2026-04-21 16:34:54.765251,0 days 00:00:20.289839,block_16,0.005681894026439945,constant,0.21853753365845308,2048,adamw,PRUNED
47,0.9064030612244899,2026-04-21 16:34:54.888603,2026-04-21 16:35:12.399969,0 days 00:00:17.511366,block_16,0.03129340346359166,constant,0.3416305516768149,2048,adamw,PRUNED
48,0.875829081632653,2026-04-21 16:35:12.539870,2026-04-21 16:35:30.127097,0 days 00:00:17.587227,block_16,0.07285214962857868,constant,0.31114840843219377,4096,adamw,PRUNED
49,0.9049489795918367,2026-04-21 16:35:30.287682,2026-04-21 16:35:47.972517,0 days 00:00:17.684835,block_16,0.006458873399761564,constant,0.3940261556522565,1024,adamw,PRUNED
50,0.9204591836734693,2026-04-21 16:35:48.131743,2026-04-21 16:36:23.209497,0 days 00:00:35.077754,block_16,0.014130568297426841,constant,0.05974308407901663,4096,adamw,PRUNED
51,0.9061479591836734,2026-04-21 16:36:23.339795,2026-04-21 16:36:41.112860,0 days 00:00:17.773065,block_16,0.00861638124839638,constant,0.21785125587033333,1024,adamw,PRUNED
52,0.9049362244897958,2026-04-21 16:36:41.239870,2026-04-21 16:36:58.798376,0 days 00:00:17.558506,block_16,0.02146947241983731,constant,0.38995923641501945,2048,adamw,PRUNED
53,0.9313392857142857,2026-04-21 16:36:58.928643,2026-04-21 16:38:13.036951,0 days 00:01:14.108308,block_16,0.0051824976751355945,constant,0.19351025002109984,1024,adamw,COMPLETE
54,0.9270663265306122,2026-04-21 16:38:13.176488,2026-04-21 16:39:05.304399,0 days 00:00:52.127911,block_16,0.005999047923064937,constant,0.16310399346155133,1024,adamw,PRUNED
55,0.9133418367346938,2026-04-21 16:39:05.445356,2026-04-21 16:39:25.555843,0 days 00:00:20.110487,block_16,0.005145860902411846,constant,0.1650044016352868,3072,adamw,PRUNED
56,0.9052678571428572,2026-04-21 16:39:25.694709,2026-04-21 16:39:43.073252,0 days 00:00:17.378543,block_16,0.0073930140952727375,constant,0.3790678604916176,1024,adamw,PRUNED
57,0.908188775510204,2026-04-21 16:39:43.210997,2026-04-21 16:40:00.649969,0 days 00:00:17.438972,block_16,0.005723578568543337,constant,0.2294155930606075,1024,adamw,PRUNED
58,0.8992219387755103,2026-04-21 16:40:00.787613,2026-04-21 16:40:18.480301,0 days 00:00:17.692688,block_16,0.0157069576443128,constant,0.2910765918435374,3072,adamw,PRUNED
59,0.9020025510204082,2026-04-21 16:40:18.661101,2026-04-21 16:40:36.413372,0 days 00:00:17.752271,block_16,0.03156876016918029,constant,0.08660050131796387,1024,adamw,PRUNED
60,0.9124617346938775,2026-04-21 16:40:36.567249,2026-04-21 16:40:57.062069,0 days 00:00:20.494820,block_16,0.07099145443636672,constant,0.15735732467868296,3072,adamw,PRUNED
61,0.9282142857142857,2026-04-21 16:40:57.198082,2026-04-21 16:41:52.392353,0 days 00:00:55.194271,block_16,0.0056632997544190065,constant,0.1778212107156657,1024,adamw,PRUNED
62,0.9077678571428571,2026-04-21 16:41:52.534044,2026-04-21 16:42:10.079892,0 days 00:00:17.545848,block_16,0.005576159592125301,constant,0.2952386424026486,1024,adamw,PRUNED
63,0.9169260204081633,2026-04-21 16:42:10.289545,2026-04-21 16:42:33.617476,0 days 00:00:23.327931,block_16,0.007509038302692619,constant,0.327448222061785,2048,adamw,PRUNED
64,0.9003188775510204,2026-04-21 16:42:33.765702,2026-04-21 16:42:51.572993,0 days 00:00:17.807291,block_16,0.024696077070191943,constant,0.1439312883956344,1024,adamw,PRUNED
65,0.9178954081632652,2026-04-21 16:42:51.720618,2026-04-21 16:43:17.865295,0 days 00:00:26.144677,block_16,0.00627839225488293,constant,0.36891618027033257,4096,adamw,PRUNED
66,0.9063137755102042,2026-04-21 16:43:17.992663,2026-04-21 16:43:35.536500,0 days 00:00:17.543837,block_16,0.005262183181756888,constant,0.38800057446906083,1024,adamw,PRUNED
67,0.9115433673469387,2026-04-21 16:43:35.680037,2026-04-21 16:43:56.138401,0 days 00:00:20.458364,block_16,0.0056230298976401,constant,0.3939652422586407,2048,adamw,PRUNED
68,0.9311607142857143,2026-04-21 16:43:56.283401,2026-04-21 16:45:10.025834,0 days 00:01:13.742433,block_16,0.005288378453248402,constant,0.2066233973133703,1024,adamw,COMPLETE
69,0.9053954081632652,2026-04-21 16:45:10.201117,2026-04-21 16:45:27.642840,0 days 00:00:17.441723,block_16,0.018839822926098933,constant,0.3337809087502241,2048,adamw,PRUNED
70,0.9164923469387755,2026-04-21 16:45:27.769755,2026-04-21 16:45:51.030564,0 days 00:00:23.260809,block_16,0.006670482024586498,constant,0.08464600533850103,2048,adamw,PRUNED
71,0.9080994897959185,2026-04-21 16:45:51.164195,2026-04-21 16:46:08.844909,0 days 00:00:17.680714,block_16,0.0057413898029926025,constant,0.2310353425542328,1024,adamw,PRUNED
72,0.9271428571428572,2026-04-21 16:46:09.007947,2026-04-21 16:47:01.329875,0 days 00:00:52.321928,block_16,0.005209356404096768,constant,0.18754406352728045,1024,adamw,PRUNED
73,0.9083163265306123,2026-04-21 16:47:01.501413,2026-04-21 16:47:19.019381,0 days 00:00:17.517968,block_16,0.016536546619552887,constant,0.26396193315181943,1024,adamw,PRUNED
74,0.9198852040816327,2026-04-21 16:47:19.166493,2026-04-21 16:47:42.312637,0 days 00:00:23.146144,block_16,0.006056067206538594,constant,0.27679566075953305,4096,adamw,PRUNED
75,0.9059566326530613,2026-04-21 16:47:42.442161,2026-04-21 16:47:59.797880,0 days 00:00:17.355719,block_16,0.009712309707108902,constant,0.2516997611715337,1024,adamw,PRUNED
76,0.9049107142857142,2026-04-21 16:47:59.934850,2026-04-21 16:48:17.388717,0 days 00:00:17.453867,block_16,0.012298749247090046,constant,0.36562918331758104,1024,adamw,PRUNED
77,0.9039030612244898,2026-04-21 16:48:17.515499,2026-04-21 16:48:34.964775,0 days 00:00:17.449276,block_16,0.01812064535003632,constant,0.05938531701046837,3072,adamw,PRUNED
78,0.9311989795918368,2026-04-21 16:48:35.107879,2026-04-21 16:49:48.867850,0 days 00:01:13.759971,block_16,0.005825180349367569,constant,0.21937744601248968,1024,adamw,COMPLETE
79,0.9103443877551021,2026-04-21 16:49:49.014967,2026-04-21 16:50:09.563679,0 days 00:00:20.548712,block_16,0.009213542358139771,constant,0.1964488214816213,3072,adamw,PRUNED
80,0.9030484693877551,2026-04-21 16:50:09.708045,2026-04-21 16:50:27.209501,0 days 00:00:17.501456,block_16,0.03531204052095938,constant,0.1688939488235778,2048,adamw,PRUNED
81,0.905076530612245,2026-04-21 16:50:27.347790,2026-04-21 16:50:44.945832,0 days 00:00:17.598042,block_16,0.010617546828389196,constant,0.18819157811298748,1024,adamw,PRUNED
82,0.9079209183673469,2026-04-21 16:50:45.078769,2026-04-21 16:51:02.663128,0 days 00:00:17.584359,block_16,0.006360733313274037,constant,0.20946113309509104,1024,adamw,PRUNED
83,0.9072959183673469,2026-04-21 16:51:02.834240,2026-04-21 16:51:20.391428,0 days 00:00:17.557188,block_16,0.00543912359621547,constant,0.28440533588510164,1024,adamw,PRUNED
84,0.9029846938775511,2026-04-21 16:51:20.525291,2026-04-21 16:51:38.192231,0 days 00:00:17.666940,block_16,0.03261404746086277,constant,0.1845711211786165,1024,adamw,PRUNED
85,0.9027806122448979,2026-04-21 16:51:38.323949,2026-04-21 16:51:56.125408,0 days 00:00:17.801459,block_16,0.050716536245463024,constant,0.2674078587353304,3072,adamw,PRUNED
86,0.9281377551020409,2026-04-21 16:51:56.279320,2026-04-21 16:52:51.652792,0 days 00:00:55.373472,block_16,0.00559413352925598,constant,0.23086715858356283,1024,adamw,PRUNED
87,0.928265306122449,2026-04-21 16:52:51.809823,2026-04-21 16:53:48.208102,0 days 00:00:56.398279,block_16,0.005319252051151523,constant,0.19529990359204896,1024,adamw,PRUNED
88,0.913954081632653,2026-04-21 16:53:48.350914,2026-04-21 16:54:09.064395,0 days 00:00:20.713481,block_16,0.008813705386188114,constant,0.3929471636085817,1024,adamw,PRUNED
89,0.9141581632653061,2026-04-21 16:54:09.230534,2026-04-21 16:54:29.937904,0 days 00:00:20.707370,block_16,0.008315335926916963,constant,0.15792978634926075,1024,adamw,PRUNED
90,0.9061989795918367,2026-04-21 16:54:30.090499,2026-04-21 16:54:47.821547,0 days 00:00:17.731048,block_16,0.008476673791837964,constant,0.21105287539797182,1024,adamw,PRUNED
91,0.9264923469387755,2026-04-21 16:54:47.977912,2026-04-21 16:55:40.712700,0 days 00:00:52.734788,block_16,0.006206375182274978,constant,0.05400094978519826,1024,adamw,PRUNED
92,0.9270918367346939,2026-04-21 16:55:40.859789,2026-04-21 16:56:34.095422,0 days 00:00:53.235633,block_16,0.005571447755072509,constant,0.1268763283640787,1024,adamw,PRUNED
93,0.9122576530612245,2026-04-21 16:56:34.264832,2026-04-21 16:56:55.120619,0 days 00:00:20.855787,block_16,0.008450854877526327,constant,0.20423656660248823,2048,adamw,PRUNED
94,0.9192857142857143,2026-04-21 16:56:55.260142,2026-04-21 16:57:19.066519,0 days 00:00:23.806377,block_16,0.005000682421710765,constant,0.104932049413082,4096,adamw,PRUNED
95,0.926875,2026-04-21 16:57:19.229845,2026-04-21 16:58:12.939327,0 days 00:00:53.709482,block_16,0.005262870049558849,constant,0.154242207193414,1024,adamw,PRUNED
96,0.9082908163265306,2026-04-21 16:58:13.095996,2026-04-21 16:58:31.305377,0 days 00:00:18.209381,block_16,0.005452806029463984,constant,0.21660878566628056,1024,adamw,PRUNED
97,0.906517857142857,2026-04-21 16:58:31.479859,2026-04-21 16:58:49.927047,0 days 00:00:18.447188,block_16,0.008327059065945441,constant,0.3217402261026451,1024,adamw,PRUNED
98,0.9064158163265307,2026-04-21 16:58:50.094113,2026-04-21 16:59:08.455102,0 days 00:00:18.360989,block_16,0.026588147276759688,constant,0.38692290499143345,2048,adamw,PRUNED
99,0.9259948979591837,2026-04-21 16:59:08.604621,2026-04-21 17:00:01.572660,0 days 00:00:52.968039,block_16,0.00747625633491898,constant,0.14069789830718282,1024,adamw,PRUNED
100,0.9063775510204082,2026-04-21 17:00:01.709638,2026-04-21 17:00:19.496515,0 days 00:00:17.786877,block_16,0.005401246969226413,constant,0.33237479474144277,1024,adamw,PRUNED
101,0.9194770408163265,2026-04-21 17:00:19.639638,2026-04-21 17:00:43.080429,0 days 00:00:23.440791,block_16,0.013444808303845797,constant,0.0698424493669814,1024,adamw,PRUNED
102,0.9116198979591836,2026-04-21 17:00:43.204437,2026-04-21 17:01:03.868916,0 days 00:00:20.664479,block_16,0.016855202755038087,constant,0.14772959814590697,1024,adamw,PRUNED
103,0.9057653061224489,2026-04-21 17:01:03.995656,2026-04-21 17:01:22.589981,0 days 00:00:18.594325,block_16,0.006188209782480401,constant,0.39364036116389595,1024,adamw,PRUNED
104,0.9128698979591837,2026-04-21 17:01:22.744456,2026-04-21 17:01:43.882910,0 days 00:00:21.138454,block_16,0.01626666537760757,constant,0.16623323965354103,2048,adamw,PRUNED
105,0.9141071428571429,2026-04-21 17:01:44.020058,2026-04-21 17:02:10.657954,0 days 00:00:26.637896,block_16,0.05690246446481985,constant,0.05887480945379933,4096,adamw,PRUNED
106,0.9014285714285715,2026-04-21 17:02:10.805482,2026-04-21 17:02:29.195282,0 days 00:00:18.389800,block_16,0.020435013853194257,constant,0.075381654733691,1024,adamw,PRUNED
107,0.9132015306122448,2026-04-21 17:02:29.348917,2026-04-21 17:02:50.103455,0 days 00:00:20.754538,block_16,0.03634101023929993,constant,0.22175274523297495,4096,adamw,PRUNED
108,0.9039795918367347,2026-04-21 17:02:50.242825,2026-04-21 17:03:08.181180,0 days 00:00:17.938355,block_16,0.013105607125692264,constant,0.13570028317466115,1024,adamw,PRUNED
109,0.907142857142857,2026-04-21 17:03:08.330144,2026-04-21 17:03:26.092946,0 days 00:00:17.762802,block_16,0.0051908953972806555,constant,0.236152899679354,1024,adamw,PRUNED
110,0.9142474489795919,2026-04-21 17:03:26.241201,2026-04-21 17:03:47.029170,0 days 00:00:20.787969,block_16,0.005134005380907492,constant,0.1930632077109142,1024,adamw,PRUNED
111,0.907015306122449,2026-04-21 17:03:47.175219,2026-04-21 17:04:07.939906,0 days 00:00:20.764687,block_16,0.018350298009132432,constant,0.14607413835234465,2048,adamw,PRUNED
112,0.9084056122448979,2026-04-21 17:04:08.086000,2026-04-21 17:04:25.852633,0 days 00:00:17.766633,block_16,0.008354875058337912,constant,0.23556279897202806,1024,adamw,PRUNED
113,0.9118622448979591,2026-04-21 17:04:26.021206,2026-04-21 17:04:46.704930,0 days 00:00:20.683724,block_16,0.020749712777200904,constant,0.2808617115989358,2048,adamw,PRUNED
114,0.8982270408163264,2026-04-21 17:04:46.888290,2026-04-21 17:05:04.862226,0 days 00:00:17.973936,block_16,0.02642676540073443,constant,0.3607066873492796,1024,adamw,PRUNED
115,0.9093367346938775,2026-04-21 17:05:04.998338,2026-04-21 17:05:25.553760,0 days 00:00:20.555422,block_16,0.018632793612404643,constant,0.19294156558823516,2048,adamw,PRUNED
116,0.9186607142857144,2026-04-21 17:05:25.679758,2026-04-21 17:05:51.909572,0 days 00:00:26.229814,block_16,0.011055926306543633,constant,0.16412766416381872,4096,adamw,PRUNED
117,0.9138775510204082,2026-04-21 17:05:52.048358,2026-04-21 17:06:18.302896,0 days 00:00:26.254538,block_16,0.022217379918167895,constant,0.3647080597158519,4096,adamw,PRUNED
118,0.9125892857142858,2026-04-21 17:06:18.434335,2026-04-21 17:06:39.093396,0 days 00:00:20.659061,block_16,0.0066948587805649015,constant,0.31469090247555015,3072,adamw,PRUNED
119,0.9119770408163265,2026-04-21 17:06:39.239558,2026-04-21 17:06:59.807163,0 days 00:00:20.567605,block_16,0.01258285202469475,constant,0.33896494534990135,2048,adamw,PRUNED
120,0.915408163265306,2026-04-21 17:06:59.952216,2026-04-21 17:07:23.777394,0 days 00:00:23.825178,block_16,0.00537943376658101,constant,0.13276132755456355,2048,adamw,PRUNED
121,0.9164795918367348,2026-04-21 17:07:23.921596,2026-04-21 17:07:48.165100,0 days 00:00:24.243504,block_16,0.01223101848745461,constant,0.18818979257675142,2048,adamw,PRUNED
122,0.9130357142857144,2026-04-21 17:07:48.327911,2026-04-21 17:08:09.427303,0 days 00:00:21.099392,block_16,0.008870713086422866,constant,0.22976539462020273,2048,adamw,PRUNED
123,0.9166198979591837,2026-04-21 17:08:09.594810,2026-04-21 17:08:33.545020,0 days 00:00:23.950210,block_16,0.015499294726578182,constant,0.2704614229952918,2048,adamw,PRUNED
124,0.8982780612244897,2026-04-21 17:08:33.698579,2026-04-21 17:08:51.660375,0 days 00:00:17.961796,block_16,0.025524220133779946,constant,0.20482267963089276,1024,adamw,PRUNED
125,0.9264285714285714,2026-04-21 17:08:51.813844,2026-04-21 17:09:45.313067,0 days 00:00:53.499223,block_16,0.005987063835761744,constant,0.13889555600186107,1024,adamw,PRUNED
126,0.9108163265306123,2026-04-21 17:09:45.453610,2026-04-21 17:10:06.283376,0 days 00:00:20.829766,block_16,0.01365539935907588,constant,0.14465917080103474,3072,adamw,PRUNED
127,0.9147831632653062,2026-04-21 17:10:06.438898,2026-04-21 17:10:30.117694,0 days 00:00:23.678796,block_16,0.010863954071596774,constant,0.2190373989662588,2048,adamw,PRUNED
128,0.9180229591836735,2026-04-21 17:10:30.280274,2026-04-21 17:10:57.007411,0 days 00:00:26.727137,block_16,0.0055766415363274905,constant,0.19469809791176193,4096,adamw,PRUNED
129,0.9076530612244899,2026-04-21 17:10:57.170040,2026-04-21 17:11:15.027108,0 days 00:00:17.857068,block_16,0.007102827859357548,constant,0.2461345068177427,1024,adamw,PRUNED
130,0.901109693877551,2026-04-21 17:11:15.179683,2026-04-21 17:11:33.035807,0 days 00:00:17.856124,block_16,0.030977551706982364,constant,0.3811945960075038,3072,adamw,PRUNED
131,0.9166454081632653,2026-04-21 17:11:33.193114,2026-04-21 17:11:56.818081,0 days 00:00:23.624967,block_16,0.06054842116512436,constant,0.24220894252208824,4096,adamw,PRUNED
132,0.8132270408163265,2026-04-21 17:11:56.956349,2026-04-21 17:12:14.924954,0 days 00:00:17.968605,block_16,0.0733512793048503,constant,0.1801693964473108,4096,adamw,PRUNED
133,0.9190561224489795,2026-04-21 17:12:15.068820,2026-04-21 17:12:38.917796,0 days 00:00:23.848976,block_16,0.012897314181588026,constant,0.28366716948512505,4096,adamw,PRUNED
134,0.9184438775510204,2026-04-21 17:12:39.064828,2026-04-21 17:13:02.854417,0 days 00:00:23.789589,block_16,0.012124758018607483,constant,0.05176583351818129,2048,adamw,PRUNED
135,0.9029336734693877,2026-04-21 17:13:02.988024,2026-04-21 17:13:20.793708,0 days 00:00:17.805684,block_16,0.03898400679046687,constant,0.20467628444317448,4096,adamw,PRUNED
136,0.9084821428571429,2026-04-21 17:13:20.934990,2026-04-21 17:13:38.668308,0 days 00:00:17.733318,block_16,0.005071583146865692,constant,0.17705911476171493,1024,adamw,PRUNED
137,0.9279081632653061,2026-04-21 17:13:38.795053,2026-04-21 17:14:33.951550,0 days 00:00:55.156497,block_16,0.008618663507588937,constant,0.38157567438787837,1024,adamw,PRUNED
138,0.8978954081632653,2026-04-21 17:14:34.135480,2026-04-21 17:14:51.792170,0 days 00:00:17.656690,block_16,0.024461050540472658,constant,0.1370029334272039,1024,adamw,PRUNED
139,0.9178061224489796,2026-04-21 17:14:51.941870,2026-04-21 17:15:15.433321,0 days 00:00:23.491451,block_16,0.03439880308022296,constant,0.31853331880824215,4096,adamw,PRUNED
140,0.8783673469387756,2026-04-21 17:15:15.585824,2026-04-21 17:15:33.163253,0 days 00:00:17.577429,block_16,0.04248457659714067,constant,0.2705643778506285,4096,adamw,PRUNED
141,0.9018367346938775,2026-04-21 17:15:33.308932,2026-04-21 17:15:50.861494,0 days 00:00:17.552562,block_16,0.010472753251793757,constant,0.33004947501715254,1024,adamw,PRUNED
142,0.9064030612244898,2026-04-21 17:15:51.025891,2026-04-21 17:16:08.661480,0 days 00:00:17.635589,block_16,0.013803299853274883,constant,0.3923508165901157,1024,adamw,PRUNED
143,0.9075510204081633,2026-04-21 17:16:08.813340,2026-04-21 17:16:26.376976,0 days 00:00:17.563636,block_16,0.011399676685107933,constant,0.10874710363291938,1024,adamw,PRUNED
144,0.9064285714285714,2026-04-21 17:16:26.538714,2026-04-21 17:16:44.106755,0 days 00:00:17.568041,block_16,0.007020224401404534,constant,0.3980888958217546,1024,adamw,PRUNED
145,0.9033418367346938,2026-04-21 17:16:44.257466,2026-04-21 17:17:01.934565,0 days 00:00:17.677099,block_16,0.019009797127871403,constant,0.35687374250474824,1024,adamw,PRUNED
146,0.9085204081632653,2026-04-21 17:17:02.088248,2026-04-21 17:17:19.884533,0 days 00:00:17.796285,block_16,0.008348109044133542,constant,0.193220127407939,1024,adamw,PRUNED
