number,value,datetime_start,datetime_complete,duration,params_clip_layer,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,params_warmup_epochs,state
16,0.9334438775510204,2026-04-21 12:08:06.012605,2026-04-21 12:09:17.656695,0 days 00:01:11.644090,block_16,0.03544008441860276,constant,0.15639543818132373,2048,adamw,,COMPLETE
17,0.9320280612244898,2026-04-21 12:09:17.802450,2026-04-21 12:10:29.493650,0 days 00:01:11.691200,block_16,0.03408438603707274,constant,0.30878351722098896,2048,adamw,,COMPLETE
18,0.8115433673469388,2026-04-21 12:10:29.624308,2026-04-21 12:10:46.627991,0 days 00:00:17.003683,pre_proj,0.03224202171394557,constant,0.36381777375810387,512,adamw,,PRUNED
19,0.8190688775510204,2026-04-21 12:10:46.768453,2026-04-21 12:11:03.887370,0 days 00:00:17.118917,pre_proj,0.027047019473348893,cosine_warmup,0.24891801406501352,2048,adamw,14.0,PRUNED
20,0.9291071428571429,2026-04-21 12:11:04.038796,2026-04-21 12:12:15.677473,0 days 00:01:11.638677,block_16,0.022456748446202747,constant,0.19054966653673594,512,adamw,,COMPLETE
21,0.9137627551020409,2026-04-21 12:12:15.819794,2026-04-21 12:12:46.889769,0 days 00:00:31.069975,block_16,0.01628035755653188,cosine_warmup,0.2787507359662287,2048,adamw,10.0,PRUNED
22,0.9330229591836735,2026-04-21 12:12:47.026373,2026-04-21 12:13:58.834125,0 days 00:01:11.807752,block_16,0.02341103541981263,constant,0.12967759564298287,2048,adamw,,COMPLETE
23,0.8690561224489796,2026-04-21 12:13:58.955493,2026-04-21 12:14:16.019421,0 days 00:00:17.063928,block_20,0.038934196151861174,constant,0.2380790401376003,2048,adamw,,PRUNED
24,0.9016709183673469,2026-04-21 12:14:16.157220,2026-04-21 12:14:33.211711,0 days 00:00:17.054491,block_16,0.07611806181790282,constant,0.15764868326073392,2048,adamw,,PRUNED
25,0.8790433673469389,2026-04-21 12:14:33.349606,2026-04-21 12:14:50.375509,0 days 00:00:17.025903,block_12,0.018003886114645082,constant,0.20623813677472913,2048,adamw,,PRUNED
26,0.893469387755102,2026-04-21 12:14:50.516946,2026-04-21 12:15:07.586062,0 days 00:00:17.069116,block_16,0.04044438360912412,cosine_warmup,0.11976160948424408,2048,adamw,6.0,PRUNED
27,0.9321301020408164,2026-04-21 12:15:07.734676,2026-04-21 12:16:19.405551,0 days 00:01:11.670875,block_16,0.015901348585725346,constant,0.3597121008461614,2048,adamw,,COMPLETE
28,0.8265178571428571,2026-04-21 12:16:19.550824,2026-04-21 12:16:36.671934,0 days 00:00:17.121110,pre_proj,0.025198875309706298,constant,0.15466034207779122,2048,adamw,,PRUNED
29,0.890969387755102,2026-04-21 12:16:36.815845,2026-04-21 12:16:53.802669,0 days 00:00:16.986824,block_16,0.0854975496780922,cosine_warmup,0.3208708992885715,2048,adamw,14.0,PRUNED
30,0.903545918367347,2026-04-21 12:16:53.945383,2026-04-21 12:17:10.966351,0 days 00:00:17.020968,block_16,0.011747150512159714,constant,0.03226022796802369,1024,adamw,,PRUNED
31,0.9040816326530612,2026-04-21 12:17:11.105807,2026-04-21 12:17:28.130806,0 days 00:00:17.024999,block_16,0.011152615275598651,constant,0.20216318839585887,1024,adamw,,PRUNED
32,0.9042219387755103,2026-04-21 12:17:28.285158,2026-04-21 12:17:45.228513,0 days 00:00:16.943355,block_16,0.02394247525989431,constant,0.1196190016521253,2048,adamw,,PRUNED
33,0.9045535714285714,2026-04-21 12:17:45.349468,2026-04-21 12:18:02.312022,0 days 00:00:16.962554,block_16,0.027000111925064095,constant,0.2125339409316836,2048,adamw,,PRUNED
34,0.8735841836734693,2026-04-21 12:18:02.431175,2026-04-21 12:18:19.444148,0 days 00:00:17.012973,block_20,0.03460852951011742,constant,0.11851016059311792,1024,adamw,,PRUNED
35,0.9009693877551019,2026-04-21 12:18:19.582668,2026-04-21 12:18:36.656692,0 days 00:00:17.074024,block_16,0.02014762731992149,constant,0.32423585865575527,1024,adamw,,PRUNED
36,0.9321045918367347,2026-04-21 12:18:36.809417,2026-04-21 12:19:48.146578,0 days 00:01:11.337161,block_16,0.0552746985008396,constant,0.2159650270913439,1024,adamw,,COMPLETE
37,0.8244642857142858,2026-04-21 12:19:48.311648,2026-04-21 12:20:05.362447,0 days 00:00:17.050799,pre_proj,0.052651101273521725,cosine_warmup,0.08730641531896122,512,adamw,4.0,PRUNED
38,0.8760076530612244,2026-04-21 12:20:05.521993,2026-04-21 12:20:22.518192,0 days 00:00:16.996199,block_20,0.017422470729618486,constant,0.3314200653698516,2048,adamw,,PRUNED
39,0.860420918367347,2026-04-21 12:20:22.662712,2026-04-21 12:20:39.673974,0 days 00:00:17.011262,block_12,0.03880274619060007,constant,0.13529749644205563,2048,adamw,,PRUNED
40,0.8739668367346939,2026-04-21 12:20:39.821107,2026-04-21 12:20:56.877001,0 days 00:00:17.055894,block_20,0.01777203617386044,constant,0.1448044952485192,2048,adamw,,PRUNED
41,0.8135714285714286,2026-04-21 12:20:57.019645,2026-04-21 12:21:14.059930,0 days 00:00:17.040285,pre_proj,0.017146201800951007,constant,0.05824416765730103,512,adamw,,PRUNED
42,0.8649234693877551,2026-04-21 12:21:14.209387,2026-04-21 12:21:31.256770,0 days 00:00:17.047383,block_12,0.038747362051978984,constant,0.38717454109483573,2048,adamw,,PRUNED
43,0.9109311224489796,2026-04-21 12:21:31.407869,2026-04-21 12:21:54.003454,0 days 00:00:22.595585,block_16,0.02406993794405856,constant,0.3939013954758146,2048,adamw,,PRUNED
44,0.7973341836734693,2026-04-21 12:21:54.148369,2026-04-21 12:22:11.107485,0 days 00:00:16.959116,pre_proj,0.005923726102480513,cosine_warmup,0.2503405902711414,1024,adamw,10.0,PRUNED
45,0.8209566326530612,2026-04-21 12:22:11.250854,2026-04-21 12:22:28.221725,0 days 00:00:16.970871,pre_proj,0.010199587046945995,constant,0.3333044828354946,2048,adamw,,PRUNED
46,0.9318239795918367,2026-04-21 12:22:28.358231,2026-04-21 12:23:39.706678,0 days 00:01:11.348447,block_16,0.014126733294617081,constant,0.35216668808738366,2048,adamw,,COMPLETE
47,0.9318877551020408,2026-04-21 12:23:39.826962,2026-04-21 12:24:51.196342,0 days 00:01:11.369380,block_16,0.022414227050385142,constant,0.2194356211498106,2048,adamw,,COMPLETE
48,0.8743494897959184,2026-04-21 12:24:51.326775,2026-04-21 12:25:08.229155,0 days 00:00:16.902380,block_20,0.0195265691555808,cosine_warmup,0.24955261336584184,512,adamw,8.0,PRUNED
49,0.9028826530612245,2026-04-21 12:25:08.373262,2026-04-21 12:25:25.372674,0 days 00:00:16.999412,block_16,0.050043684454059795,constant,0.061606550298267504,512,adamw,,PRUNED
50,0.8183418367346939,2026-04-21 12:25:25.519714,2026-04-21 12:25:42.511111,0 days 00:00:16.991397,pre_proj,0.02583299217989268,constant,0.3003861210878755,2048,adamw,,PRUNED
51,0.8901530612244898,2026-04-21 12:25:42.661538,2026-04-21 12:25:59.545690,0 days 00:00:16.884152,block_12,0.03628151085248595,constant,0.2455706360003795,512,adamw,,PRUNED
52,0.9052295918367348,2026-04-21 12:25:59.686051,2026-04-21 12:26:16.638321,0 days 00:00:16.952270,block_16,0.049191169472941935,constant,0.22072818850163836,1024,adamw,,PRUNED
53,0.8670535714285713,2026-04-21 12:26:16.783404,2026-04-21 12:26:33.725376,0 days 00:00:16.941972,block_12,0.005436058501794371,cosine_warmup,0.08789736652635192,2048,adamw,12.0,PRUNED
54,0.8999362244897959,2026-04-21 12:26:33.867687,2026-04-21 12:26:50.855892,0 days 00:00:16.988205,block_16,0.026717884749236243,cosine_warmup,0.09543951786622351,1024,adamw,7.0,PRUNED
55,0.8723596938775511,2026-04-21 12:26:51.005962,2026-04-21 12:27:07.915355,0 days 00:00:16.909393,block_12,0.05875991523601592,constant,0.2722696785267939,1024,adamw,,PRUNED
56,0.901517857142857,2026-04-21 12:27:08.057726,2026-04-21 12:27:25.026233,0 days 00:00:16.968507,block_16,0.02642044299044356,constant,0.11645942706626933,1024,adamw,,PRUNED
57,0.8654464285714287,2026-04-21 12:27:25.161127,2026-04-21 12:27:42.081087,0 days 00:00:16.919960,block_16,0.09253503104434603,constant,0.3666025094663992,1024,adamw,,PRUNED
58,0.845076530612245,2026-04-21 12:27:42.218558,2026-04-21 12:27:59.200870,0 days 00:00:16.982312,block_16,0.08504500423361326,constant,0.2279067826870928,512,adamw,,PRUNED
59,0.8671556122448979,2026-04-21 12:27:59.357253,2026-04-21 12:28:16.268502,0 days 00:00:16.911249,block_20,0.09964385828501568,cosine_warmup,0.17954224879855074,1024,adamw,11.0,PRUNED
60,0.9156760204081633,2026-04-21 12:28:16.405587,2026-04-21 12:28:41.729902,0 days 00:00:25.324315,block_16,0.014012635897224445,cosine_warmup,0.14425482829781636,2048,adamw,4.0,PRUNED
61,0.9302806122448979,2026-04-21 12:28:41.860492,2026-04-21 12:29:53.103038,0 days 00:01:11.242546,block_16,0.010877265389512298,constant,0.181674215102308,2048,adamw,,COMPLETE
62,0.9036096938775511,2026-04-21 12:29:53.244126,2026-04-21 12:30:10.142940,0 days 00:00:16.898814,block_16,0.06228594624389735,constant,0.29570615430319225,2048,adamw,,PRUNED
63,0.8988647959183673,2026-04-21 12:30:10.287073,2026-04-21 12:30:27.141925,0 days 00:00:16.854852,block_16,0.03290995051960441,constant,0.3768281741049146,512,adamw,,PRUNED
64,0.9035586734693877,2026-04-21 12:30:27.286422,2026-04-21 12:30:44.251419,0 days 00:00:16.964997,block_16,0.044718991992133486,constant,0.10111875126649603,2048,adamw,,PRUNED
65,0.9324744897959184,2026-04-21 12:30:44.387425,2026-04-21 12:31:55.528714,0 days 00:01:11.141289,block_16,0.0367461240716185,constant,0.29779984261076875,2048,adamw,,COMPLETE
66,0.9152423469387755,2026-04-21 12:31:55.660815,2026-04-21 12:32:20.853435,0 days 00:00:25.192620,block_16,0.021049778993349758,constant,0.2937263862292342,2048,adamw,,PRUNED
67,0.8838647959183674,2026-04-21 12:32:20.992314,2026-04-21 12:32:37.870870,0 days 00:00:16.878556,block_20,0.012156163307025092,constant,0.39223983186926575,512,adamw,,PRUNED
68,0.8669132653061224,2026-04-21 12:32:38.022362,2026-04-21 12:32:55.009750,0 days 00:00:16.987388,block_16,0.04598314766177115,constant,0.20048880230767055,2048,adamw,,PRUNED
69,0.8063392857142857,2026-04-21 12:32:55.136187,2026-04-21 12:33:12.132415,0 days 00:00:16.996228,pre_proj,0.0607487426821353,constant,0.1894031259381413,1024,adamw,,PRUNED
70,0.9039795918367347,2026-04-21 12:33:12.253409,2026-04-21 12:33:29.298106,0 days 00:00:17.044697,block_16,0.06783520201890791,constant,0.14221017452558898,1024,adamw,,PRUNED
71,0.9003954081632652,2026-04-21 12:33:29.453960,2026-04-21 12:33:46.408084,0 days 00:00:16.954124,block_16,0.047222573513835936,cosine_warmup,0.25873145299831657,1024,adamw,14.0,PRUNED
72,0.8726275510204081,2026-04-21 12:33:46.546733,2026-04-21 12:34:03.466112,0 days 00:00:16.919379,block_12,0.024944645789301518,cosine_warmup,0.28813504205739854,2048,adamw,8.0,PRUNED
73,0.9068367346938776,2026-04-21 12:34:03.635029,2026-04-21 12:34:20.622023,0 days 00:00:16.986994,block_16,0.03634190332635599,constant,0.3107197899886309,2048,adamw,,PRUNED
74,0.8779464285714285,2026-04-21 12:34:20.774566,2026-04-21 12:34:37.660656,0 days 00:00:16.886090,block_12,0.016455297300004567,constant,0.31488515636786174,2048,adamw,,PRUNED
75,0.8798214285714286,2026-04-21 12:34:37.810112,2026-04-21 12:34:54.685357,0 days 00:00:16.875245,block_12,0.01147169306838702,constant,0.3896591582771528,1024,adamw,,PRUNED
76,0.9059183673469388,2026-04-21 12:34:54.820752,2026-04-21 12:35:11.715489,0 days 00:00:16.894737,block_16,0.025575510457240217,constant,0.29232862512307506,2048,adamw,,PRUNED
77,0.8760204081632653,2026-04-21 12:35:11.851317,2026-04-21 12:35:28.799211,0 days 00:00:16.947894,block_20,0.03506846049439588,constant,0.33720448121114227,1024,adamw,,PRUNED
78,0.8711224489795919,2026-04-21 12:35:28.939856,2026-04-21 12:35:45.899391,0 days 00:00:16.959535,block_20,0.03594961099947146,constant,0.3919479370923653,2048,adamw,,PRUNED
79,0.9047321428571429,2026-04-21 12:35:46.045470,2026-04-21 12:36:03.063555,0 days 00:00:17.018085,block_16,0.026138491884091355,constant,0.15870147694437398,2048,adamw,,PRUNED
80,0.8966198979591836,2026-04-21 12:36:03.221931,2026-04-21 12:36:20.243404,0 days 00:00:17.021473,block_16,0.025001935250717366,cosine_warmup,0.3803724314896792,1024,adamw,6.0,PRUNED
81,0.9068622448979592,2026-04-21 12:36:20.387556,2026-04-21 12:36:37.419387,0 days 00:00:17.031831,block_16,0.03307648963663113,constant,0.34873576213555324,2048,adamw,,PRUNED
82,0.9266964285714285,2026-04-21 12:36:37.573248,2026-04-21 12:37:30.636735,0 days 00:00:53.063487,block_16,0.01715363241413513,constant,0.09107946582696791,2048,adamw,,PRUNED
83,0.9149234693877549,2026-04-21 12:37:30.794889,2026-04-21 12:37:55.988644,0 days 00:00:25.193755,block_16,0.017018917011951816,constant,0.2192293157977165,2048,adamw,,PRUNED
84,0.8152678571428572,2026-04-21 12:37:56.138144,2026-04-21 12:38:12.996990,0 days 00:00:16.858846,pre_proj,0.00518525500187255,constant,0.3772927246442856,512,adamw,,PRUNED
85,0.8958673469387756,2026-04-21 12:38:13.118875,2026-04-21 12:38:30.068360,0 days 00:00:16.949485,block_16,0.03370301885060692,cosine_warmup,0.26047496632384515,512,adamw,11.0,PRUNED
86,0.8701785714285715,2026-04-21 12:38:30.216903,2026-04-21 12:38:47.204858,0 days 00:00:16.987955,block_20,0.047680064261172,cosine_warmup,0.1457730453255128,2048,adamw,9.0,PRUNED
87,0.9044260204081633,2026-04-21 12:38:47.349167,2026-04-21 12:39:04.312691,0 days 00:00:16.963524,block_16,0.03363696712601188,constant,0.26376130792728697,1024,adamw,,PRUNED
88,0.9022704081632653,2026-04-21 12:39:04.457563,2026-04-21 12:39:21.438123,0 days 00:00:16.980560,block_16,0.03651779104971381,cosine_warmup,0.25230132300284386,2048,adamw,12.0,PRUNED
89,0.8871811224489797,2026-04-21 12:39:21.576776,2026-04-21 12:39:38.389228,0 days 00:00:16.812452,block_12,0.005226716500115634,constant,0.11407915527831076,512,adamw,,PRUNED
90,0.9078316326530611,2026-04-21 12:39:38.539950,2026-04-21 12:39:58.238076,0 days 00:00:19.698126,block_16,0.019493770581541062,constant,0.23309991643937758,2048,adamw,,PRUNED
91,0.8770535714285714,2026-04-21 12:39:58.380021,2026-04-21 12:40:15.292665,0 days 00:00:16.912644,block_20,0.05021848973442288,constant,0.1328418822691152,2048,adamw,,PRUNED
92,0.9158290816326531,2026-04-21 12:40:15.438114,2026-04-21 12:40:40.624680,0 days 00:00:25.186566,block_16,0.015457970399684341,constant,0.3133692406268185,2048,adamw,,PRUNED
93,0.9137117346938776,2026-04-21 12:40:40.760663,2026-04-21 12:41:05.899292,0 days 00:00:25.138629,block_16,0.009991144483252844,constant,0.35406139403047776,2048,adamw,,PRUNED
94,0.9070663265306123,2026-04-21 12:41:06.042439,2026-04-21 12:41:23.037449,0 days 00:00:16.995010,block_16,0.01643719522230762,constant,0.3831126354811274,2048,adamw,,PRUNED
95,0.9283035714285715,2026-04-21 12:41:23.186706,2026-04-21 12:42:34.305323,0 days 00:01:11.118617,block_16,0.035035341820319914,constant,0.20718213419319212,512,adamw,,COMPLETE
96,0.8146938775510205,2026-04-21 12:42:34.440922,2026-04-21 12:42:51.334614,0 days 00:00:16.893692,pre_proj,0.024272867081349986,constant,0.27323295468632475,1024,adamw,,PRUNED
97,0.8781122448979592,2026-04-21 12:42:51.490986,2026-04-21 12:43:08.473843,0 days 00:00:16.982857,block_20,0.02108860665700318,cosine_warmup,0.019071802814693756,512,adamw,6.0,PRUNED
98,0.9073086734693877,2026-04-21 12:43:08.620701,2026-04-21 12:43:25.525959,0 days 00:00:16.905258,block_16,0.03186667442585768,constant,0.2738316808492001,2048,adamw,,PRUNED
99,0.8850510204081632,2026-04-21 12:43:25.670420,2026-04-21 12:43:42.544419,0 days 00:00:16.873999,block_12,0.014295619958583363,constant,0.10962436119188879,2048,adamw,,PRUNED
100,0.784655612244898,2026-04-21 12:43:42.694648,2026-04-21 12:43:59.629333,0 days 00:00:16.934685,pre_proj,0.0892819901767275,cosine_warmup,0.07333014538636182,2048,adamw,14.0,PRUNED
101,0.8826530612244897,2026-04-21 12:43:59.770239,2026-04-21 12:44:16.672345,0 days 00:00:16.902106,block_20,0.005533406750304559,constant,0.3534940245299023,2048,adamw,,PRUNED
102,0.92875,2026-04-21 12:44:16.808893,2026-04-21 12:45:28.078201,0 days 00:01:11.269308,block_16,0.009463733975454726,constant,0.15811601819835097,2048,adamw,,COMPLETE
103,0.8136989795918368,2026-04-21 12:45:28.230718,2026-04-21 12:45:45.237685,0 days 00:00:17.006967,pre_proj,0.012992998396221665,cosine_warmup,0.3354168008920359,2048,adamw,4.0,PRUNED
104,0.8661989795918368,2026-04-21 12:45:45.375652,2026-04-21 12:46:02.294550,0 days 00:00:16.918898,block_12,0.09538349067888438,cosine_warmup,0.08707487053120147,512,adamw,9.0,PRUNED
105,0.9049107142857142,2026-04-21 12:46:02.453790,2026-04-21 12:46:19.449594,0 days 00:00:16.995804,block_16,0.011721353754838522,cosine_warmup,0.32095834242923543,2048,adamw,7.0,PRUNED
106,0.9075892857142858,2026-04-21 12:46:19.588729,2026-04-21 12:46:42.148601,0 days 00:00:22.559872,block_16,0.024934976123152677,cosine_warmup,0.37152505336527747,2048,adamw,10.0,PRUNED
107,0.8121301020408163,2026-04-21 12:46:42.297300,2026-04-21 12:46:59.262004,0 days 00:00:16.964704,pre_proj,0.015546653892378783,constant,0.20028240588394175,2048,adamw,,PRUNED
108,0.9058545918367347,2026-04-21 12:46:59.420345,2026-04-21 12:47:16.370356,0 days 00:00:16.950011,block_16,0.03033869128606712,constant,0.1375028892941746,2048,adamw,,PRUNED
109,0.814719387755102,2026-04-21 12:47:16.498831,2026-04-21 12:47:33.461386,0 days 00:00:16.962555,pre_proj,0.03678681081208568,constant,0.048425980584739556,2048,adamw,,PRUNED
110,0.9278188775510204,2026-04-21 12:47:33.618171,2026-04-21 12:48:45.157499,0 days 00:01:11.539328,block_16,0.012465460231999573,constant,0.26313059780713105,512,adamw,,COMPLETE
111,0.8810586734693877,2026-04-21 12:48:45.325434,2026-04-21 12:49:02.313921,0 days 00:00:16.988487,block_16,0.09877516767689133,constant,0.20790809823239303,1024,adamw,,PRUNED
112,0.8770663265306122,2026-04-21 12:49:02.467026,2026-04-21 12:49:19.410049,0 days 00:00:16.943023,block_16,0.008521289348115402,cosine_warmup,0.17397251502031866,512,adamw,12.0,PRUNED
113,0.8767091836734693,2026-04-21 12:49:19.560212,2026-04-21 12:49:36.481543,0 days 00:00:16.921331,block_20,0.038070672290851974,constant,0.15258858034779127,512,adamw,,PRUNED
114,0.868826530612245,2026-04-21 12:49:36.629933,2026-04-21 12:49:53.457096,0 days 00:00:16.827163,block_12,0.010611890367751958,cosine_warmup,0.1892512543145175,1024,adamw,4.0,PRUNED
115,0.8150127551020409,2026-04-21 12:49:53.594583,2026-04-21 12:50:10.555899,0 days 00:00:16.961316,pre_proj,0.0333477174886489,constant,0.15767462522965875,512,adamw,,PRUNED
116,0.8092091836734694,2026-04-21 12:50:10.708853,2026-04-21 12:50:27.671868,0 days 00:00:16.963015,pre_proj,0.04173360637874218,cosine_warmup,0.3950229130717053,512,adamw,8.0,PRUNED
117,0.9078316326530612,2026-04-21 12:50:27.810139,2026-04-21 12:50:44.769808,0 days 00:00:16.959669,block_16,0.02423523644425773,constant,0.17453042901202184,512,adamw,,PRUNED
118,0.9026147959183674,2026-04-21 12:50:44.917693,2026-04-21 12:51:01.819393,0 days 00:00:16.901700,block_16,0.04036420233268856,constant,0.22849695600793063,2048,adamw,,PRUNED
119,0.9071428571428571,2026-04-21 12:51:01.958702,2026-04-21 12:51:18.920786,0 days 00:00:16.962084,block_16,0.010045192233099099,constant,0.08494730980894852,512,adamw,,PRUNED
120,0.8750892857142857,2026-04-21 12:51:19.060739,2026-04-21 12:51:35.993678,0 days 00:00:16.932939,block_20,0.00809717821231181,constant,0.19224218623053796,1024,adamw,,PRUNED
121,0.9279719387755102,2026-04-21 12:51:36.134566,2026-04-21 12:52:29.254363,0 days 00:00:53.119797,block_16,0.012471578472887693,constant,0.2232176824762621,2048,adamw,,PRUNED
122,0.9130739795918367,2026-04-21 12:52:29.391164,2026-04-21 12:52:51.963773,0 days 00:00:22.572609,block_16,0.014622556987361333,constant,0.14460324089221716,2048,adamw,,PRUNED
123,0.9251530612244898,2026-04-21 12:52:52.093626,2026-04-21 12:53:42.326538,0 days 00:00:50.232912,block_16,0.010599975333194272,constant,0.11697538561826543,2048,adamw,,PRUNED
124,0.9290051020408164,2026-04-21 12:53:42.446570,2026-04-21 12:54:53.671041,0 days 00:01:11.224471,block_16,0.007551258489960916,constant,0.17392047035857497,2048,adamw,,COMPLETE
125,0.8823596938775511,2026-04-21 12:54:53.816658,2026-04-21 12:55:10.709373,0 days 00:00:16.892715,block_12,0.027141719460158146,constant,0.18411163722748225,1024,adamw,,PRUNED
126,0.9284693877551021,2026-04-21 12:55:10.829325,2026-04-21 12:56:22.123689,0 days 00:01:11.294364,block_16,0.0075839566074248875,constant,0.215514197401028,2048,adamw,,COMPLETE
127,0.8830229591836736,2026-04-21 12:56:22.283492,2026-04-21 12:56:39.243750,0 days 00:00:16.960258,block_12,0.062434965807201766,constant,0.2872599479321877,2048,adamw,,PRUNED
128,0.9124489795918368,2026-04-21 12:56:39.392816,2026-04-21 12:57:01.914976,0 days 00:00:22.522160,block_16,0.01751484410629339,constant,0.32794726282783593,2048,adamw,,PRUNED
129,0.9004336734693876,2026-04-21 12:57:02.051315,2026-04-21 12:57:19.061053,0 days 00:00:17.009738,block_16,0.03914755952788191,constant,0.369866674232219,2048,adamw,,PRUNED
130,0.883686224489796,2026-04-21 12:57:19.217871,2026-04-21 12:57:36.151465,0 days 00:00:16.933594,block_20,0.007537101858590448,constant,0.18492379129708536,2048,adamw,,PRUNED
131,0.9081505102040817,2026-04-21 12:57:36.287853,2026-04-21 12:57:53.183967,0 days 00:00:16.896114,block_16,0.01761271962269761,constant,0.2056253180451735,1024,adamw,,PRUNED
132,0.9060076530612244,2026-04-21 12:57:53.324850,2026-04-21 12:58:10.261620,0 days 00:00:16.936770,block_16,0.027828777104983264,constant,0.18390677531701224,2048,adamw,,PRUNED
133,0.9199107142857144,2026-04-21 12:58:10.403205,2026-04-21 12:58:44.128691,0 days 00:00:33.725486,block_16,0.005594738489174831,constant,0.19270670132414677,2048,adamw,,PRUNED
134,0.9136989795918368,2026-04-21 12:58:44.280902,2026-04-21 12:59:06.792374,0 days 00:00:22.511472,block_16,0.006246530315272552,constant,0.09986801620763444,2048,adamw,,PRUNED
135,0.9078954081632652,2026-04-21 12:59:06.920762,2026-04-21 12:59:26.771726,0 days 00:00:19.850964,block_16,0.018610565773809224,constant,0.13245331725165133,512,adamw,,PRUNED
136,0.7989540816326532,2026-04-21 12:59:26.917515,2026-04-21 12:59:43.981291,0 days 00:00:17.063776,pre_proj,0.09137541662103596,cosine_warmup,0.2905172870875073,1024,adamw,6.0,PRUNED
137,0.8147704081632653,2026-04-21 12:59:44.134617,2026-04-21 13:00:01.185651,0 days 00:00:17.051034,pre_proj,0.014820442408520004,constant,0.22215764928481338,512,adamw,,PRUNED
138,0.7882142857142856,2026-04-21 13:00:01.326938,2026-04-21 13:00:18.286280,0 days 00:00:16.959342,pre_proj,0.005738325906037633,cosine_warmup,0.010500811590396453,512,adamw,14.0,PRUNED
139,0.9066964285714286,2026-04-21 13:00:18.413284,2026-04-21 13:00:35.442927,0 days 00:00:17.029643,block_16,0.02317299467059865,constant,0.26628597405112214,2048,adamw,,PRUNED
140,0.8057525510204082,2026-04-21 13:00:35.587601,2026-04-21 13:00:52.634803,0 days 00:00:17.047202,pre_proj,0.041365260422253615,constant,0.2549230234315297,2048,adamw,,PRUNED
141,0.9028061224489797,2026-04-21 13:00:52.779539,2026-04-21 13:01:09.704396,0 days 00:00:16.924857,block_16,0.009717508303102591,constant,0.39360944553787114,1024,adamw,,PRUNED
