number,value,datetime_start,datetime_complete,duration,params_clip_layer,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
15,0.929515306122449,2026-04-21 21:53:23.148455,2026-04-21 21:54:37.484154,0 days 00:01:14.335699,block_16,0.009582762486629412,constant,0.34933543364137837,3072,adamw,0.8308290816326531,0.8944515306122449,0.9209438775510204,COMPLETE
16,0.9197066326530612,2026-04-21 21:54:37.630820,2026-04-21 21:55:06.827795,0 days 00:00:29.196975,block_16,0.0065652002181838115,constant,0.35144070745778977,4096,adamw,0.9042474489795919,0.9197066326530612,,PRUNED
17,0.8770153061224489,2026-04-21 21:55:06.954953,2026-04-21 21:55:18.988377,0 days 00:00:12.033424,block_16,0.0364490771657369,constant,0.23963574574108104,2048,adamw,0.8770153061224489,,,PRUNED
18,0.9160204081632654,2026-04-21 21:55:19.143246,2026-04-21 21:55:48.465080,0 days 00:00:29.321834,block_16,0.01998815208705585,constant,0.38432531236436096,3072,adamw,0.9160204081632654,,,PRUNED
19,0.8842729591836735,2026-04-21 21:55:48.599197,2026-04-21 21:56:00.436307,0 days 00:00:11.837110,block_16,0.013029683479181675,constant,0.38796082332522436,1024,adamw,0.8166964285714287,0.8842729591836735,,PRUNED
20,0.879170918367347,2026-04-21 21:56:00.587113,2026-04-21 21:56:12.442572,0 days 00:00:11.855459,block_16,0.06846347866996175,constant,0.35477593158195864,2048,adamw,0.879170918367347,,,PRUNED
21,0.8637755102040816,2026-04-21 21:56:12.566594,2026-04-21 21:56:24.415666,0 days 00:00:11.849072,block_16,0.026140989990766233,constant,0.16758147236280435,1024,adamw,0.8637755102040816,,,PRUNED
22,0.8804719387755102,2026-04-21 21:56:24.586741,2026-04-21 21:56:36.418521,0 days 00:00:11.831780,block_16,0.054584970803980636,constant,0.06678042849163794,1024,adamw,0.8182397959183673,0.8804719387755102,,PRUNED
23,0.8961479591836734,2026-04-21 21:56:36.567232,2026-04-21 21:56:48.322742,0 days 00:00:11.755510,block_16,0.005138307426815165,constant,0.39760810221238624,1024,adamw,0.8961479591836734,,,PRUNED
24,0.9194642857142856,2026-04-21 21:56:48.463588,2026-04-21 21:57:17.617838,0 days 00:00:29.154250,block_16,0.03309724936781277,constant,0.1030536002722887,3072,adamw,0.826530612244898,0.890625,0.9194642857142856,PRUNED
25,0.919375,2026-04-21 21:57:17.777316,2026-04-21 21:57:47.092763,0 days 00:00:29.315447,block_16,0.021170478205177354,constant,0.22608345765493873,3072,adamw,0.8224362244897958,0.8947193877551021,0.919375,PRUNED
26,0.9185204081632652,2026-04-21 21:57:47.228695,2026-04-21 21:58:16.333146,0 days 00:00:29.104451,block_16,0.047007223409601805,constant,0.28598477223635854,1024,adamw,0.9185204081632652,,,PRUNED
27,0.9265688775510205,2026-04-21 21:58:16.486371,2026-04-21 21:59:31.147576,0 days 00:01:14.661205,block_16,0.005392159114088112,constant,0.10234983545434101,4096,adamw,0.9223852040816327,,,COMPLETE
28,0.8885969387755103,2026-04-21 21:59:31.297277,2026-04-21 21:59:43.344243,0 days 00:00:12.046966,block_16,0.03411918913273193,constant,0.12477318994912123,4096,adamw,0.8885969387755103,,,PRUNED
29,0.8846428571428572,2026-04-21 21:59:43.496762,2026-04-21 21:59:55.559215,0 days 00:00:12.062453,block_16,0.02075133952180344,constant,0.2751700943010157,2048,adamw,0.8846428571428572,,,PRUNED
30,0.9312755102040817,2026-04-21 21:59:55.708020,2026-04-21 22:01:11.477179,0 days 00:01:15.769159,block_16,0.014618013121769599,constant,0.15356574680351393,1024,adamw,0.9229081632653061,,,COMPLETE
31,0.8874617346938776,2026-04-21 22:01:11.625507,2026-04-21 22:01:23.537345,0 days 00:00:11.911838,block_16,0.014106399729314092,constant,0.21726590042919725,1024,adamw,0.8874617346938776,,,PRUNED
32,0.8862117346938776,2026-04-21 22:01:23.673522,2026-04-21 22:01:35.491804,0 days 00:00:11.818282,block_16,0.012935124635358905,constant,0.1581726682275573,1024,adamw,0.8862117346938776,,,PRUNED
33,0.8917474489795919,2026-04-21 22:01:35.641277,2026-04-21 22:01:47.557182,0 days 00:00:11.915905,block_16,0.010690236679936854,constant,0.11181064340316874,3072,adamw,0.8261734693877549,0.8917474489795919,,PRUNED
34,0.9291326530612245,2026-04-21 22:01:47.764539,2026-04-21 22:03:02.133429,0 days 00:01:14.368890,block_16,0.012861679189599384,constant,0.20164417187001754,4096,adamw,0.9237627551020408,,,COMPLETE
35,0.7935331632653062,2026-04-21 22:03:02.266457,2026-04-21 22:03:08.404281,0 days 00:00:06.137824,block_16,0.028925334565823555,constant,0.1633615384091828,1024,adamw,0.7935331632653062,,,PRUNED
36,0.9205357142857143,2026-04-21 22:03:08.555737,2026-04-21 22:03:37.717514,0 days 00:00:29.161777,block_16,0.02053542584015198,constant,0.09542078462911396,2048,adamw,0.9205357142857143,,,PRUNED
37,0.818954081632653,2026-04-21 22:03:37.841700,2026-04-21 22:03:43.922530,0 days 00:00:06.080830,block_16,0.019956797075047092,constant,0.3453192930317406,2048,adamw,0.818954081632653,,,PRUNED
38,0.8940178571428572,2026-04-21 22:03:44.056802,2026-04-21 22:03:55.985610,0 days 00:00:11.928808,block_16,0.00923388210996326,constant,0.12334421531919063,1024,adamw,0.8940178571428572,,,PRUNED
39,0.9305357142857144,2026-04-21 22:03:56.148653,2026-04-21 22:05:10.678406,0 days 00:01:14.529753,block_16,0.007278970103532753,constant,0.3167914030290182,1024,adamw,0.8494387755102041,0.8971683673469388,0.921951530612245,COMPLETE
40,0.8766581632653061,2026-04-21 22:05:10.802399,2026-04-21 22:05:22.687236,0 days 00:00:11.884837,block_16,0.024322567496853433,constant,0.3901208288051042,4096,adamw,0.8766581632653061,,,PRUNED
41,0.9319132653061225,2026-04-21 22:05:22.829315,2026-04-21 22:06:37.515836,0 days 00:01:14.686521,block_16,0.006083266279047179,constant,0.2942552834592636,1024,adamw,0.9028443877551019,0.923265306122449,,COMPLETE
42,0.9222704081632653,2026-04-21 22:06:37.650719,2026-04-21 22:07:07.238889,0 days 00:00:29.588170,block_16,0.006095737457750703,constant,0.2258839607265289,4096,adamw,0.9021938775510204,0.9222704081632653,,PRUNED
43,0.9203826530612245,2026-04-21 22:07:07.391833,2026-04-21 22:07:37.745823,0 days 00:00:30.353990,block_16,0.006517831738273413,constant,0.2266489377058134,3072,adamw,0.9203826530612245,,,PRUNED
44,0.9312882653061225,2026-04-21 22:07:37.899684,2026-04-21 22:08:53.512807,0 days 00:01:15.613123,block_16,0.005021481186311554,constant,0.3029672111040352,1024,adamw,0.8520535714285715,0.8983035714285715,0.9225510204081633,COMPLETE
45,0.9315943877551021,2026-04-21 22:08:53.681613,2026-04-21 22:10:10.207722,0 days 00:01:16.526109,block_16,0.006547547161334279,constant,0.3054506906786433,1024,adamw,0.8550127551020409,0.8985204081632653,0.9219770408163265,COMPLETE
46,0.9196428571428572,2026-04-21 22:10:10.353245,2026-04-21 22:10:39.914015,0 days 00:00:29.560770,block_16,0.005480305690147728,constant,0.3002760840920862,2048,adamw,0.8270663265306122,0.8986224489795918,0.9196428571428572,PRUNED
47,0.9310586734693878,2026-04-21 22:10:40.046527,2026-04-21 22:11:54.704960,0 days 00:01:14.658433,block_16,0.00795427361577351,constant,0.2639012459719815,1024,adamw,0.870140306122449,0.9044770408163265,0.9224617346938775,COMPLETE
48,0.895841836734694,2026-04-21 22:11:54.872674,2026-04-21 22:12:06.967599,0 days 00:00:12.094925,block_16,0.008758955781764981,constant,0.3146336726685273,1024,adamw,0.8430357142857142,0.895841836734694,,PRUNED
49,0.9205484693877551,2026-04-21 22:12:07.098150,2026-04-21 22:12:37.223886,0 days 00:00:30.125736,block_16,0.005187326428170412,constant,0.3857927766815858,3072,adamw,0.900140306122449,0.9205484693877551,,PRUNED
50,0.9209948979591838,2026-04-21 22:12:37.362986,2026-04-21 22:13:06.741292,0 days 00:00:29.378306,block_16,0.014130568297426841,constant,0.05974308407901663,4096,adamw,0.9032908163265306,0.9209948979591838,,PRUNED
51,0.9316581632653061,2026-04-21 22:13:06.887391,2026-04-21 22:14:21.855439,0 days 00:01:14.968048,block_16,0.006401858559959499,constant,0.26140524400932685,1024,adamw,0.8624872448979592,0.9031377551020409,0.922576530612245,COMPLETE
52,0.9311224489795917,2026-04-21 22:14:22.006691,2026-04-21 22:15:37.689903,0 days 00:01:15.683212,block_16,0.005061636459547853,constant,0.23170732777145656,1024,adamw,0.8543239795918366,0.8992474489795919,0.9223596938775509,COMPLETE
53,0.9309183673469388,2026-04-21 22:15:37.828709,2026-04-21 22:16:54.310485,0 days 00:01:16.481776,block_16,0.007804597041246224,constant,0.3754250754385016,1024,adamw,0.9230739795918368,,,COMPLETE
54,0.9167474489795919,2026-04-21 22:16:54.454720,2026-04-21 22:17:24.228344,0 days 00:00:29.773624,block_16,0.018436131120165424,constant,0.39256282563783523,2048,adamw,0.9167474489795919,,,PRUNED
55,0.9314158163265306,2026-04-21 22:17:24.383354,2026-04-21 22:18:39.958801,0 days 00:01:15.575447,block_16,0.00539112543649583,constant,0.31562489376198744,1024,adamw,0.8536989795918367,0.8999234693877551,0.9225510204081633,COMPLETE
56,0.931530612244898,2026-04-21 22:18:40.102767,2026-04-21 22:19:57.351322,0 days 00:01:17.248555,block_16,0.005648367547686501,constant,0.2920244013475401,1024,adamw,0.8548086734693878,0.9026403061224489,0.9229081632653061,COMPLETE
57,0.8439923469387757,2026-04-21 22:19:57.488166,2026-04-21 22:20:03.713277,0 days 00:00:06.225111,block_16,0.008669388581640753,constant,0.2810966991426245,1024,adamw,0.8439923469387757,,,PRUNED
58,0.9196173469387755,2026-04-21 22:20:03.865405,2026-04-21 22:20:33.941925,0 days 00:00:30.076520,block_16,0.009560493112585059,constant,0.2963288046896784,4096,adamw,0.9196173469387755,,,PRUNED
59,0.9320663265306123,2026-04-21 22:20:34.079711,2026-04-21 22:21:50.170849,0 days 00:01:16.091138,block_16,0.006723896165827295,constant,0.267726265069689,1024,adamw,0.8525382653061224,0.902844387755102,0.9236734693877551,COMPLETE
60,0.7557397959183674,2026-04-21 22:21:50.323958,2026-04-21 22:21:56.577996,0 days 00:00:06.254038,block_16,0.07099145443636672,constant,0.15735732467868296,3072,adamw,0.7557397959183674,,,PRUNED
61,0.851045918367347,2026-04-21 22:21:56.739676,2026-04-21 22:22:02.965043,0 days 00:00:06.225367,block_16,0.008278648725837966,constant,0.22418377572427947,1024,adamw,0.851045918367347,,,PRUNED
62,0.9320535714285715,2026-04-21 22:22:03.113321,2026-04-21 22:23:18.116315,0 days 00:01:15.002994,block_16,0.0059140633551019025,constant,0.28257869830113747,1024,adamw,0.8595408163265306,0.9043622448979591,0.9229591836734694,COMPLETE
63,0.8281377551020409,2026-04-21 22:23:18.371113,2026-04-21 22:23:24.514730,0 days 00:00:06.143617,block_16,0.008865321112120489,constant,0.3023649361635117,3072,adamw,0.8281377551020409,,,PRUNED
64,0.9310841836734693,2026-04-21 22:23:24.660415,2026-04-21 22:24:39.651003,0 days 00:01:14.990588,block_16,0.00693742118586771,constant,0.26355862084101334,1024,adamw,0.8541071428571427,0.9025382653061225,0.9229081632653061,COMPLETE
65,0.898469387755102,2026-04-21 22:24:39.824577,2026-04-21 22:24:51.816731,0 days 00:00:11.992154,block_16,0.0050671850758604335,constant,0.2878859082702679,1024,adamw,0.898469387755102,,,PRUNED
66,0.9191326530612246,2026-04-21 22:24:51.954648,2026-04-21 22:25:21.795557,0 days 00:00:29.840909,block_16,0.036299524801703155,constant,0.38294504539083446,2048,adamw,0.9191326530612246,,,PRUNED
67,0.9211352040816326,2026-04-21 22:25:21.938148,2026-04-21 22:25:51.493777,0 days 00:00:29.555629,block_16,0.0081316646780667,constant,0.18950587788857468,2048,adamw,0.9016964285714286,0.9211352040816326,,PRUNED
68,0.8998086734693878,2026-04-21 22:25:51.638843,2026-04-21 22:26:03.439704,0 days 00:00:11.800861,block_16,0.005690792840856097,constant,0.38905709494547785,1024,adamw,0.8530484693877551,0.8998086734693878,,PRUNED
69,0.8455867346938776,2026-04-21 22:26:03.564887,2026-04-21 22:26:09.737862,0 days 00:00:06.172975,block_16,0.008614576823114329,constant,0.2528408905801817,1024,adamw,0.8455867346938776,,,PRUNED
70,0.8390433673469389,2026-04-21 22:26:09.890968,2026-04-21 22:26:16.136582,0 days 00:00:06.245614,block_16,0.005474660695603925,constant,0.28188846114837496,4096,adamw,0.8390433673469389,,,PRUNED
71,0.9314413265306122,2026-04-21 22:26:16.316012,2026-04-21 22:27:31.018923,0 days 00:01:14.702911,block_16,0.005327731149730407,constant,0.2632241056556237,1024,adamw,0.8547448979591837,0.900969387755102,0.9228061224489796,COMPLETE
72,0.8119132653061225,2026-04-21 22:27:31.161733,2026-04-21 22:27:37.360584,0 days 00:00:06.198851,block_16,0.012795832454519483,constant,0.3026795798016818,2048,adamw,0.8119132653061225,,,PRUNED
73,0.806734693877551,2026-04-21 22:27:37.502039,2026-04-21 22:27:43.647986,0 days 00:00:06.145947,block_16,0.05238364163658378,constant,0.39979472293068985,1024,adamw,0.806734693877551,,,PRUNED
74,0.8473214285714287,2026-04-21 22:27:43.790452,2026-04-21 22:27:49.916805,0 days 00:00:06.126353,block_16,0.00828860110120654,constant,0.30920714983936864,1024,adamw,0.8473214285714287,,,PRUNED
75,0.894872448979592,2026-04-21 22:27:50.072114,2026-04-21 22:28:01.978190,0 days 00:00:11.906076,block_16,0.06802982426226993,constant,0.282614591812701,4096,adamw,0.894872448979592,,,PRUNED
76,0.8419260204081632,2026-04-21 22:28:02.139010,2026-04-21 22:28:08.375706,0 days 00:00:06.236696,block_16,0.008211436348015404,constant,0.3935342963652169,2048,adamw,0.8419260204081632,,,PRUNED
77,0.8993622448979591,2026-04-21 22:28:08.541064,2026-04-21 22:28:20.635205,0 days 00:00:12.094141,block_16,0.0058253480605398355,constant,0.32327707961199525,1024,adamw,0.8553443877551021,0.8993622448979591,,PRUNED
78,0.8481505102040816,2026-04-21 22:28:20.808707,2026-04-21 22:28:27.053874,0 days 00:00:06.245167,block_16,0.006161905865131286,constant,0.29123911923763324,3072,adamw,0.8481505102040816,,,PRUNED
79,0.9223852040816326,2026-04-21 22:28:27.210405,2026-04-21 22:28:57.273377,0 days 00:00:30.062972,block_16,0.007637503767330224,constant,0.29992804204335366,1024,adamw,0.8522193877551021,0.900280612244898,0.9223852040816326,PRUNED
80,0.922359693877551,2026-04-21 22:28:57.440122,2026-04-21 22:29:26.962236,0 days 00:00:29.522114,block_16,0.006152366349351198,constant,0.2238268896395022,1024,adamw,0.8651275510204082,0.9029464285714285,0.922359693877551,PRUNED
81,0.7975,2026-04-21 22:29:27.097392,2026-04-21 22:29:33.206635,0 days 00:00:06.109243,block_16,0.028433327250147952,constant,0.20861568718918697,1024,adamw,0.7975,,,PRUNED
82,0.815625,2026-04-21 22:29:33.338714,2026-04-21 22:29:39.405824,0 days 00:00:06.067110,block_16,0.048562209862099595,constant,0.15573729174257894,1024,adamw,0.815625,,,PRUNED
83,0.9198341836734694,2026-04-21 22:29:39.546857,2026-04-21 22:30:08.676901,0 days 00:00:29.130044,block_16,0.025240415290812244,constant,0.31103297325215934,2048,adamw,0.9198341836734694,,,PRUNED
84,0.8329464285714285,2026-04-21 22:30:08.818777,2026-04-21 22:30:14.907285,0 days 00:00:06.088508,block_16,0.010436423899250832,constant,0.38279221097464944,4096,adamw,0.8329464285714285,,,PRUNED
85,0.8169260204081633,2026-04-21 22:30:15.031953,2026-04-21 22:30:21.070922,0 days 00:00:06.038969,block_16,0.01946377087468333,constant,0.12404775089992609,1024,adamw,0.8169260204081633,,,PRUNED
86,0.9316326530612244,2026-04-21 22:30:21.216299,2026-04-21 22:31:35.931625,0 days 00:01:14.715326,block_16,0.005613542283746021,constant,0.2932220159485393,1024,adamw,0.8546301020408164,0.9021173469387757,0.9233928571428571,COMPLETE
87,0.8855102040816326,2026-04-21 22:31:36.074225,2026-04-21 22:31:47.883788,0 days 00:00:11.809563,block_16,0.07475850275663094,constant,0.20709946769873197,2048,adamw,0.8855102040816326,,,PRUNED
88,0.8982525510204082,2026-04-21 22:31:48.025452,2026-04-21 22:31:59.849672,0 days 00:00:11.824220,block_16,0.005198886447568408,constant,0.3517504522072942,1024,adamw,0.8534438775510205,0.8982525510204082,,PRUNED
89,0.8984311224489796,2026-04-21 22:31:59.993498,2026-04-21 22:32:11.871440,0 days 00:00:11.877942,block_16,0.0050762061925559605,constant,0.2920873973453559,1024,adamw,0.852997448979592,0.8984311224489796,,PRUNED
90,0.8204846938775511,2026-04-21 22:32:12.023770,2026-04-21 22:32:18.161539,0 days 00:00:06.137769,block_16,0.01194899296547438,constant,0.31762148505632304,1024,adamw,0.8204846938775511,,,PRUNED
91,0.8994387755102041,2026-04-21 22:32:18.311663,2026-04-21 22:32:30.340364,0 days 00:00:12.028701,block_16,0.006468549665625293,constant,0.28723436972537175,1024,adamw,0.8548214285714286,0.8994387755102041,,PRUNED
92,0.9309438775510204,2026-04-21 22:32:30.489560,2026-04-21 22:33:45.269468,0 days 00:01:14.779908,block_16,0.007162589501171064,constant,0.2572430593379487,1024,adamw,0.9233928571428571,,,COMPLETE
93,0.931658163265306,2026-04-21 22:33:45.426943,2026-04-21 22:34:59.620567,0 days 00:01:14.193624,block_16,0.006711178851200887,constant,0.30975010346666104,1024,adamw,0.9021301020408163,0.9229464285714286,,COMPLETE
94,0.8162244897959184,2026-04-21 22:34:59.768869,2026-04-21 22:35:05.892273,0 days 00:00:06.123404,block_16,0.006362068835727598,constant,0.24410152000370883,2048,adamw,0.8162244897959184,,,PRUNED
95,0.9313647959183674,2026-04-21 22:35:06.042496,2026-04-21 22:36:20.168189,0 days 00:01:14.125693,block_16,0.007738480281881447,constant,0.34245796627260916,1024,adamw,0.9222831632653061,,,COMPLETE
96,0.9317219387755101,2026-04-21 22:36:20.327812,2026-04-21 22:37:34.982356,0 days 00:01:14.654544,block_16,0.0052089128131349504,constant,0.28700961040032497,1024,adamw,0.9230867346938776,,,COMPLETE
97,0.851658163265306,2026-04-21 22:37:35.129568,2026-04-21 22:37:41.215533,0 days 00:00:06.085965,block_16,0.00501294548750396,constant,0.3292617872178753,1024,adamw,0.851658163265306,,,PRUNED
98,0.920140306122449,2026-04-21 22:37:41.356934,2026-04-21 22:38:10.632070,0 days 00:00:29.275136,block_16,0.005006045349487972,constant,0.3663384514065956,4096,adamw,0.920140306122449,,,PRUNED
99,0.9316326530612244,2026-04-21 22:38:10.776475,2026-04-21 22:39:25.337417,0 days 00:01:14.560942,block_16,0.005712427250525049,constant,0.24789268820801003,1024,adamw,0.9230102040816327,,,COMPLETE
100,0.9223979591836735,2026-04-21 22:39:25.489761,2026-04-21 22:39:54.989723,0 days 00:00:29.499962,block_16,0.005334252905318771,constant,0.23390290877876097,1024,adamw,0.9015688775510203,0.9223979591836735,,PRUNED
101,0.9317219387755101,2026-04-21 22:39:55.142977,2026-04-21 22:41:12.165593,0 days 00:01:17.022616,block_16,0.008294395342963777,constant,0.2639654910494431,1024,adamw,0.9005484693877551,0.9229974489795918,,COMPLETE
102,0.9220535714285714,2026-04-21 22:41:12.314287,2026-04-21 22:41:42.520459,0 days 00:00:30.206172,block_16,0.012307091859114912,constant,0.26164800791534293,1024,adamw,0.9220535714285714,,,PRUNED
103,0.9313137755102041,2026-04-21 22:41:42.672143,2026-04-21 22:43:01.351786,0 days 00:01:18.679643,block_16,0.006010731664048216,constant,0.1602262879376497,1024,adamw,0.8639030612244898,0.9034438775510205,0.9234438775510204,COMPLETE
104,0.836594387755102,2026-04-21 22:43:01.524489,2026-04-21 22:43:07.756142,0 days 00:00:06.231653,block_16,0.009093225794227989,constant,0.24490710643449765,1024,adamw,0.836594387755102,,,PRUNED
105,0.8068367346938776,2026-04-21 22:43:07.921251,2026-04-21 22:43:13.937176,0 days 00:00:06.015925,block_16,0.05690246446481985,constant,0.05887480945379933,4096,adamw,0.8068367346938776,,,PRUNED
106,0.9225127551020409,2026-04-21 22:43:14.068718,2026-04-21 22:43:43.345972,0 days 00:00:29.277254,block_16,0.0054232050097205225,constant,0.22572775698491726,1024,adamw,0.8551658163265305,0.9024362244897959,0.9225127551020409,PRUNED
107,0.895969387755102,2026-04-21 22:43:43.489046,2026-04-21 22:43:55.348078,0 days 00:00:11.859032,block_16,0.008426971978917388,constant,0.3978510700065403,1024,adamw,0.895969387755102,,,PRUNED
108,0.8989923469387756,2026-04-21 22:43:55.479194,2026-04-21 22:44:07.394870,0 days 00:00:11.915676,block_16,0.008803378154213304,constant,0.26304422988994447,1024,adamw,0.8989923469387756,,,PRUNED
109,0.9316581632653061,2026-04-21 22:44:07.549036,2026-04-21 22:45:21.679614,0 days 00:01:14.130578,block_16,0.005275359938906236,constant,0.2706731959585424,1024,adamw,0.9002040816326531,0.9229974489795918,,COMPLETE
110,0.7404209183673469,2026-04-21 22:45:21.830714,2026-04-21 22:45:27.944814,0 days 00:00:06.114100,block_16,0.036789913433629536,constant,0.3397576169625132,3072,adamw,0.7404209183673469,,,PRUNED
111,0.9318239795918368,2026-04-21 22:45:28.089702,2026-04-21 22:46:42.468690,0 days 00:01:14.378988,block_16,0.005926683999439415,constant,0.25947551078442765,1024,adamw,0.8627168367346939,0.904579081632653,0.9230229591836734,COMPLETE
112,0.9321301020408164,2026-04-21 22:46:42.613892,2026-04-21 22:47:56.283355,0 days 00:01:13.669463,block_16,0.005959089930614432,constant,0.2834999058214459,1024,adamw,0.922984693877551,,,COMPLETE
113,0.8992984693877552,2026-04-21 22:47:56.451734,2026-04-21 22:48:08.234107,0 days 00:00:11.782373,block_16,0.0051455450310619036,constant,0.2784664709846898,1024,adamw,0.8992984693877552,,,PRUNED
114,0.8816964285714285,2026-04-21 22:48:08.392237,2026-04-21 22:48:20.105236,0 days 00:00:11.712999,block_16,0.02642676540073443,constant,0.3607066873492796,1024,adamw,0.8816964285714285,,,PRUNED
115,0.8978826530612245,2026-04-21 22:48:20.243282,2026-04-21 22:48:31.957530,0 days 00:00:11.714248,block_16,0.008204247834122118,constant,0.26521258276909027,1024,adamw,0.8978826530612245,,,PRUNED
116,0.9174107142857142,2026-04-21 22:48:32.096844,2026-04-21 22:49:01.361426,0 days 00:00:29.264582,block_16,0.018643746354915055,constant,0.3663871389763762,2048,adamw,0.9174107142857142,,,PRUNED
117,0.9225,2026-04-21 22:49:01.500263,2026-04-21 22:49:31.107831,0 days 00:00:29.607568,block_16,0.006996130132692353,constant,0.27717099119672967,1024,adamw,0.9033163265306121,0.9225,,PRUNED
118,0.9223214285714285,2026-04-21 22:49:31.244906,2026-04-21 22:50:00.471664,0 days 00:00:29.226758,block_16,0.007551391229842717,constant,0.310839658607033,1024,adamw,0.9019897959183674,0.9223214285714285,,PRUNED
119,0.8984438775510203,2026-04-21 22:50:00.657057,2026-04-21 22:50:12.387830,0 days 00:00:11.730773,block_16,0.005082750801117842,constant,0.28069981187340437,1024,adamw,0.853686224489796,0.8984438775510203,,PRUNED
120,0.9009566326530613,2026-04-21 22:50:12.539323,2026-04-21 22:50:24.197840,0 days 00:00:11.658517,block_16,0.007005450017747009,constant,0.25150255333835253,1024,adamw,0.8545663265306123,0.9009566326530613,,PRUNED
121,0.8989795918367347,2026-04-21 22:50:24.325060,2026-04-21 22:50:36.089991,0 days 00:00:11.764931,block_16,0.0058710137185420145,constant,0.3029515332672482,1024,adamw,0.8989795918367347,,,PRUNED
122,0.8999744897959184,2026-04-21 22:50:36.238760,2026-04-21 22:50:47.964689,0 days 00:00:11.725929,block_16,0.005238459236841321,constant,0.27337999138961777,1024,adamw,0.8549617346938775,0.8999744897959184,,PRUNED
123,0.8268367346938776,2026-04-21 22:50:48.100213,2026-04-21 22:50:54.116441,0 days 00:00:06.016228,block_16,0.005511096907537433,constant,0.3223884786693561,2048,adamw,0.8268367346938776,,,PRUNED
124,0.8985714285714286,2026-04-21 22:50:54.257832,2026-04-21 22:51:06.029451,0 days 00:00:11.771619,block_16,0.008503420711582152,constant,0.33518716163418694,1024,adamw,0.8985714285714286,,,PRUNED
