number,value,datetime_start,datetime_complete,duration,params_gru_dropout,params_gru_num_layers,params_hidden_dim,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,params_warmup_epochs,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
10,0.6226530612244898,2026-04-20 18:48:03.230558,2026-04-20 18:48:14.682246,0 days 00:00:11.451688,0.12794976178782097,4,128,2.431920090395e-05,constant,0.10194117200861344,128,adamw,,6.020113346478398e-05,0.6226530612244898,,,,PRUNED
11,0.5293813775510203,2026-04-20 18:48:14.812026,2026-04-20 18:48:32.383429,0 days 00:00:17.571403,0.3306111153692314,3,2048,0.0006406060022888481,constant,0.4624139281048463,256,adamw,,2.515712296824065e-06,0.5293813775510203,,,,PRUNED
12,0.6925127551020408,2026-04-20 18:48:32.645648,2026-04-20 18:48:40.820715,0 days 00:00:08.175067,0.5155142895549062,4,1024,0.0001675232215476653,cosine_warmup,0.5843522351918646,256,adamw,10.0,2.270845346542235e-06,0.6925127551020408,,,,PRUNED
13,0.9472576530612246,2026-04-20 18:48:40.997436,2026-04-20 18:53:53.905012,0 days 00:05:12.907576,0.5616324920988971,3,2048,0.0001149068720626941,cosine,0.43837931098633764,256,adam,,2.210401365533296e-06,0.9222193877551019,0.9348979591836735,0.9479464285714286,,COMPLETE
14,0.9483801020408162,2026-04-20 18:53:54.030278,2026-04-20 19:00:45.939642,0 days 00:06:51.909364,0.2972723196013144,4,2048,2.550218329259324e-05,constant,0.14437634292833734,1024,adam,,4.2004268282059975e-06,0.9461607142857142,,,,COMPLETE
15,0.816326530612245,2026-04-20 19:00:46.055178,2026-04-20 19:01:03.827496,0 days 00:00:17.772318,0.14632497651814083,3,2048,4.259954937799749e-05,constant,0.15646834107506763,1024,adam,,3.987521915220892e-05,0.816326530612245,,,,PRUNED
16,0.7459056122448979,2026-04-20 19:01:04.096709,2026-04-20 19:01:27.432521,0 days 00:00:23.335812,0.36840797565795547,4,2048,0.00016831000777981495,cosine_warmup,0.12791190326389335,1024,adam,7.0,1.790049032056385e-06,0.7459056122448979,,,,PRUNED
17,0.6174107142857143,2026-04-20 19:01:27.765979,2026-04-20 19:01:33.775327,0 days 00:00:06.009348,0.5905395268489524,3,512,1.4871115678260952e-05,constant,0.1275714973667488,1024,adam,,1.3805746203173278e-06,0.6174107142857143,,,,PRUNED
18,0.9329336734693878,2026-04-20 19:01:33.896434,2026-04-20 19:03:17.567744,0 days 00:01:43.671310,0.312306441481345,4,2048,8.794051093610838e-05,constant,0.3918088921328233,1024,adam,,2.3778092773459876e-06,0.9158418367346939,0.9329336734693878,,,PRUNED
19,0.9471045918367347,2026-04-20 19:03:17.879209,2026-04-20 19:05:12.905618,0 days 00:01:55.026409,0.24104140321349743,3,512,0.00019794005122167514,constant,0.1083160144852352,512,adam,,2.570048010763399e-06,0.9241709183673469,0.9401913265306122,0.9504591836734694,,COMPLETE
20,0.9450255102040817,2026-04-20 19:05:13.024781,2026-04-20 19:08:49.517550,0 days 00:03:36.492769,0.37780519166112086,3,2048,1.0529434588434196e-05,constant,0.12488765148788977,128,adam,,3.294958349703097e-05,0.9450255102040817,,,,PRUNED
21,0.7194387755102041,2026-04-20 19:08:49.787179,2026-04-20 19:09:02.155509,0 days 00:00:12.368330,0.5794989111909573,2,2048,9.480616576135158e-05,cosine_warmup,0.38041757295355755,256,adam,3.0,1.1771655572454037e-05,0.7194387755102041,,,,PRUNED
22,0.9480867346938775,2026-04-20 19:09:02.377804,2026-04-20 19:14:25.613672,0 days 00:05:23.235868,0.5331203623532524,3,2048,0.0005232511192262925,cosine,0.3959612319251109,128,adam,,1.4556854327302654e-06,0.8942219387755103,0.9265688775510204,0.9396811224489796,0.9478698979591836,COMPLETE
23,0.6542474489795919,2026-04-20 19:14:25.758223,2026-04-20 19:15:00.261992,0 days 00:00:34.503769,0.5254034899379016,3,2048,0.0007112827945757778,constant,0.29413621450966354,128,adam,,5.46073602532989e-06,0.6542474489795919,,,,PRUNED
24,0.6296875,2026-04-20 19:15:00.579425,2026-04-20 19:15:25.025193,0 days 00:00:24.445768,0.0528056070255257,4,2048,5.874413809185449e-05,cosine_warmup,0.11011849229460781,128,adam,8.0,7.229448606842743e-05,0.6296875,,,,PRUNED
25,0.9233035714285714,2026-04-20 19:15:25.388543,2026-04-20 19:15:37.312431,0 days 00:00:11.923888,0.41299563684613255,3,256,0.0016164776215873862,cosine,0.3327822466433496,1024,adam,,2.664183384880346e-06,0.8892219387755101,0.9233035714285714,,,PRUNED
26,0.9136096938775511,2026-04-20 19:15:37.465584,2026-04-20 19:15:49.490937,0 days 00:00:12.025353,0.5034772573895394,3,512,0.0005876446077915685,cosine,0.4074299550643721,128,adamw,,6.926065845302585e-06,0.9136096938775511,,,,PRUNED
27,0.7278571428571429,2026-04-20 19:15:49.645965,2026-04-20 19:15:55.735539,0 days 00:00:06.089574,0.26187469564033217,4,256,7.036738007519878e-05,constant,0.12852042208890463,128,adam,,6.894200994733848e-06,0.7278571428571429,,,,PRUNED
28,0.9221811224489795,2026-04-20 19:15:55.871069,2026-04-20 19:16:30.309242,0 days 00:00:34.438173,0.39194694483569414,3,2048,0.0007076124472895735,cosine,0.4900773236794222,128,adam,,3.3961273786671617e-06,0.8876913265306122,0.9221811224489795,,,PRUNED
29,0.9030484693877551,2026-04-20 19:16:30.594702,2026-04-20 19:16:46.611978,0 days 00:00:16.017276,0.1997370049584905,4,1024,8.475750605684259e-05,constant,0.16930301361534658,1024,adamw,,1.7249613429972997e-06,0.9030484693877551,,,,PRUNED
30,0.688392857142857,2026-04-20 19:16:46.817950,2026-04-20 19:16:52.771094,0 days 00:00:05.953144,0.3276543129577415,4,128,5.5240765935713244e-05,cosine,0.2410272932192335,1024,adam,,4.3581188053342424e-05,0.688392857142857,,,,PRUNED
31,,2026-04-20 19:16:52.903139,2026-04-20 19:16:59.805466,0 days 00:00:06.902327,0.48741239383311763,3,2048,0.00011615954580514565,cosine,0.33671749838197407,256,adamw,,1.2119183652667132e-05,,,,,FAIL
32,0.938405612244898,2026-04-20 21:50:48.697310,2026-04-20 21:52:54.291968,0 days 00:02:05.594658,0.5104989856675544,3,1024,2.5953148816509368e-05,cosine,0.4820609082064244,256,adam,,7.023641246519924e-06,0.9167219387755102,0.9399234693877552,,,COMPLETE
33,0.9259566326530613,2026-04-20 21:52:54.418141,2026-04-20 21:53:30.069693,0 days 00:00:35.651552,0.5443692953878747,3,2048,0.00031920107970176724,cosine,0.5606169295939168,256,adam,,5.6481845212854496e-05,0.8848469387755101,0.9259566326530613,,,PRUNED
34,0.9125,2026-04-20 21:53:30.291195,2026-04-20 21:54:05.899797,0 days 00:00:35.608602,0.4843071799515244,3,2048,3.928516144320735e-05,cosine,0.3284984932317157,512,adam,,1.459201574269893e-06,0.8310076530612245,0.9125,,,PRUNED
35,0.557015306122449,2026-04-20 21:54:06.120977,2026-04-20 21:55:04.391038,0 days 00:00:58.270061,0.590889032072165,2,2048,0.0018783247780164748,cosine,0.3804156474272985,512,adam,,4.45344046279722e-06,0.557015306122449,,,,PRUNED
36,0.8133673469387754,2026-04-20 21:55:04.562638,2026-04-20 21:55:11.732316,0 days 00:00:07.169678,0.5867397059420122,3,1024,0.0004867039277754189,cosine_warmup,0.3568064413645545,128,adam,6.0,6.460373690254036e-06,0.8133673469387754,,,,PRUNED
37,0.9478826530612245,2026-04-20 21:55:11.866654,2026-04-20 21:59:07.643229,0 days 00:03:55.776575,0.5928991496200566,3,2048,0.0002784503720119899,cosine,0.370759674299575,128,adam,,2.2306241112996394e-06,0.926390306122449,0.9390051020408163,0.9478826530612245,,PRUNED
38,0.8227295918367348,2026-04-20 21:59:07.905322,2026-04-20 21:59:43.521240,0 days 00:00:35.615918,0.2879615267775832,3,2048,1.4049869655139465e-05,constant,0.16379787805148757,1024,adam,,1.3019881144056348e-06,0.8227295918367348,,,,PRUNED
39,0.9226530612244898,2026-04-20 21:59:43.747959,2026-04-20 22:00:18.588734,0 days 00:00:34.840775,0.46399831249462925,3,2048,7.640200515920834e-05,cosine,0.4605156881221353,256,adamw,,3.619176224408785e-06,0.8740816326530612,0.9226530612244898,,,PRUNED
40,0.8065561224489796,2026-04-20 22:00:18.825163,2026-04-20 22:00:42.249667,0 days 00:00:23.424504,0.09431207230750345,4,2048,0.0004754967026356739,cosine_warmup,0.1840385495166023,128,adamw,10.0,2.4921341022442573e-06,0.8065561224489796,,,,PRUNED
41,0.9127295918367347,2026-04-20 22:00:42.535518,2026-04-20 22:00:54.446383,0 days 00:00:11.910865,0.3975719743459687,2,128,0.0005877548529008222,cosine,0.32011034315935455,256,adam,,2.5398487956797214e-06,0.8335969387755102,0.9127295918367347,,,PRUNED
42,0.9501913265306122,2026-04-20 22:00:54.585490,2026-04-20 22:02:53.804264,0 days 00:01:59.218774,0.20514316417133163,3,512,0.000278529229284323,constant,0.16177307760765833,512,adam,,2.9200273382302755e-06,0.9274107142857143,0.9406632653061224,0.9526913265306123,,COMPLETE
43,0.8054081632653062,2026-04-20 22:02:53.944292,2026-04-20 22:03:02.651794,0 days 00:00:08.707502,0.20481549494296003,4,1024,0.0002486996680614756,constant,0.10481546657670529,128,adam,,0.0003426316790979508,0.8054081632653062,,,,PRUNED
44,0.7750255102040816,2026-04-20 22:03:02.792817,2026-04-20 22:03:09.023787,0 days 00:00:06.230970,0.012487032864353848,2,512,0.0012795191440312073,cosine_warmup,0.21826278007614588,512,adam,8.0,3.1572315315042596e-06,0.7750255102040816,,,,PRUNED
45,0.9099362244897959,2026-04-20 22:03:09.159411,2026-04-20 22:03:53.147585,0 days 00:00:43.988174,0.2258819291590397,4,2048,8.93158456098725e-05,cosine,0.10329943044037809,512,adam,,1.1029870232308283e-05,0.9099362244897959,,,,PRUNED
46,0.9494132653061225,2026-04-20 22:03:53.444131,2026-04-20 22:05:51.418992,0 days 00:01:57.974861,0.08791085640941954,3,256,0.0008869956409570143,constant,0.1011676293059512,1024,adam,,5.0310997241301215e-06,0.9355994897959183,0.9432780612244898,,,COMPLETE
47,0.8176020408163266,2026-04-20 22:05:51.558320,2026-04-20 22:05:57.803601,0 days 00:00:06.245281,0.17199736077454356,3,256,0.0002083320556614338,constant,0.11521757506625097,1024,adam,,8.345705964753263e-06,0.8176020408163266,,,,PRUNED
48,0.9035331632653061,2026-04-20 22:05:57.938583,2026-04-20 22:06:11.151026,0 days 00:00:13.212443,0.019301219426420393,3,1024,0.0008934773687697453,cosine,0.11496268804046027,1024,adam,,1.5331926609234337e-06,0.8373724489795918,0.9035331632653061,,,PRUNED
49,0.9330484693877551,2026-04-20 22:06:11.288411,2026-04-20 22:07:57.883888,0 days 00:01:46.595477,0.12311439594534977,4,2048,0.00014505582589102107,constant,0.1276409146464188,128,adam,,2.90096937497339e-06,0.9330484693877551,,,,PRUNED
50,0.7710841836734695,2026-04-20 22:07:58.170852,2026-04-20 22:08:04.402447,0 days 00:00:06.231595,0.09962419745660284,3,256,0.0029603938538491615,cosine_warmup,0.11182069420227853,128,adam,3.0,4.457361009751327e-06,0.7710841836734695,,,,PRUNED
51,0.9420025510204082,2026-04-20 22:08:04.539921,2026-04-20 22:09:26.007860,0 days 00:01:21.467939,0.04995347390284674,2,128,0.0053545142467862974,constant,0.21235638999353587,1024,adam,,9.406988455032795e-05,0.9386224489795918,0.9420025510204082,,,PRUNED
52,0.9491964285714285,2026-04-20 22:09:26.129059,2026-04-20 22:10:48.167850,0 days 00:01:22.038791,0.21216417210390706,3,512,0.0014213382770309907,constant,0.23058965977573564,512,adamw,,2.6011771542463418e-05,0.9194387755102041,0.9397193877551021,0.9491964285714285,,PRUNED
53,0.5172959183673469,2026-04-20 22:10:48.288263,2026-04-20 22:10:54.474600,0 days 00:00:06.186337,0.15187757148290337,3,128,0.00012171247033653391,cosine_warmup,0.1788091391491492,512,adam,6.0,5.650462878517168e-06,0.5172959183673469,,,,PRUNED
54,0.46354591836734693,2026-04-20 22:10:54.589833,2026-04-20 22:11:00.679157,0 days 00:00:06.089324,0.13191870353494,4,256,0.006204004293622553,constant,0.18768048967255022,1024,adamw,,3.618868268137205e-06,0.46354591836734693,,,,PRUNED
55,0.5162117346938776,2026-04-20 22:11:00.794145,2026-04-20 22:11:06.942532,0 days 00:00:06.148387,0.11138318119145113,2,256,0.008004544006548663,constant,0.14215658345258156,1024,adam,,1.0972564104799766e-06,0.5162117346938776,,,,PRUNED
56,0.8915688775510203,2026-04-20 22:11:07.062098,2026-04-20 22:11:51.514326,0 days 00:00:44.452228,0.24841039954289104,4,2048,0.0002309866202749355,constant,0.21396936546440898,256,adam,,9.54534928276806e-05,0.8915688775510203,,,,PRUNED
57,0.8085714285714286,2026-04-20 22:11:51.814516,2026-04-20 22:12:37.503913,0 days 00:00:45.689397,0.21322092770959628,4,2048,1.1925851941187813e-05,constant,0.3204119968987309,1024,adamw,,1.0777090321141449e-05,0.8085714285714286,,,,PRUNED
58,0.5521683673469387,2026-04-20 22:12:37.791160,2026-04-20 22:12:43.929528,0 days 00:00:06.138368,0.4095077050839397,3,128,3.643697870432752e-05,cosine,0.47325443487031027,128,adam,,1.3096908584783341e-06,0.5521683673469387,,,,PRUNED
59,0.9343877551020408,2026-04-20 22:12:44.056138,2026-04-20 22:14:07.574797,0 days 00:01:23.518659,0.5878813237018928,3,2048,9.407983137774308e-05,constant,0.448869531269667,256,adam,,1.944913680668221e-06,0.9216964285714286,0.9343877551020408,,,PRUNED
60,0.9392857142857143,2026-04-20 22:14:07.810982,2026-04-20 22:15:29.969194,0 days 00:01:22.158212,0.20493278713944857,4,128,0.004555499029154079,constant,0.12944987418035428,512,adam,,7.033339978778312e-06,0.9393494897959184,0.9392857142857143,,,PRUNED
61,0.9187372448979592,2026-04-20 22:15:30.085924,2026-04-20 22:15:42.275718,0 days 00:00:12.189794,0.13563861151700787,4,512,0.0003356492082728675,constant,0.3367270190575855,512,adam,,4.3171998615347626e-06,0.9187372448979592,,,,PRUNED
62,0.9033928571428572,2026-04-20 22:15:42.404453,2026-04-20 22:15:54.337470,0 days 00:00:11.933017,0.26756784170249165,3,512,9.40658356689365e-05,constant,0.10901529537774869,512,adam,,7.776205667386155e-06,0.9033928571428572,,,,PRUNED
63,0.9166709183673469,2026-04-20 22:15:54.464605,2026-04-20 22:16:06.406082,0 days 00:00:11.941477,0.028699163562676717,2,512,0.0004586846187328246,constant,0.14391027041817545,1024,adamw,,2.629463049502317e-06,0.9166709183673469,,,,PRUNED
64,0.9115178571428572,2026-04-20 22:16:06.535964,2026-04-20 22:16:22.097208,0 days 00:00:15.561244,0.03361102879001053,4,1024,0.0007226519000982711,constant,0.11290044289868818,256,adam,,3.52232852024873e-06,0.9115178571428572,,,,PRUNED
65,0.8432142857142858,2026-04-20 22:16:22.233578,2026-04-20 22:16:34.353611,0 days 00:00:12.120033,0.5957412213267999,2,256,0.00010673740243543362,cosine,0.44525657040410366,256,adam,,1.9256664530292974e-06,0.8432142857142858,,,,PRUNED
66,0.7985905612244898,2026-04-20 22:16:34.476026,2026-04-20 22:16:46.776325,0 days 00:00:12.300299,0.56262417262622,2,2048,2.3065416670457865e-05,cosine,0.4682254850374523,1024,adam,,1.6165504665641076e-05,0.7985905612244898,,,,PRUNED
67,0.9096556122448979,2026-04-20 22:16:46.968268,2026-04-20 22:16:59.038315,0 days 00:00:12.070047,0.04479534198282338,3,256,0.00028571611543389594,constant,0.10544119496678916,128,adamw,,2.1287527239341024e-05,0.8275765306122449,0.9096556122448979,,,PRUNED
68,0.9275255102040817,2026-04-20 22:16:59.158907,2026-04-20 22:17:28.810126,0 days 00:00:29.651219,0.15400233849501258,4,512,6.267810881614308e-05,cosine,0.15503979039156562,128,adam,,6.113840430552433e-06,0.9275255102040817,,,,PRUNED
69,0.9480229591836734,2026-04-20 22:17:28.927305,2026-04-20 22:22:45.001092,0 days 00:05:16.073787,0.5152886752607236,3,2048,7.605778284707748e-05,cosine,0.4822505649575375,256,adam,,1.6110963266513577e-06,0.9504719387755103,,,,COMPLETE
70,0.9405229591836735,2026-04-20 22:22:45.118302,2026-04-20 22:26:23.892873,0 days 00:03:38.774571,0.4885799641655808,3,2048,1.3878106424142283e-05,cosine,0.5111644687777379,256,adam,,1.5699748001678085e-06,0.9405229591836735,,,,PRUNED
71,0.7774872448979592,2026-04-20 22:26:24.138950,2026-04-20 22:27:07.469496,0 days 00:00:43.330546,0.5513738522643721,4,2048,0.0002774182041901204,cosine,0.4380563394279751,256,adam,,2.813891833991667e-06,0.8511926020408164,0.7774872448979592,,,PRUNED
72,0.8123852040816326,2026-04-20 22:27:07.749813,2026-04-20 22:27:14.065956,0 days 00:00:06.316143,0.2589036959297726,4,512,0.00012033834719506682,constant,0.1339504591634448,512,adamw,,1.134589562395319e-06,0.8123852040816326,,,,PRUNED
73,0.9101913265306123,2026-04-20 22:27:14.187675,2026-04-20 22:27:26.052122,0 days 00:00:11.864447,0.008216156579577194,4,256,0.0011124287839424391,constant,0.14623185331247773,1024,adam,,3.0013468546816014e-06,0.8748341836734694,0.9101913265306123,,,PRUNED
74,0.9210841836734694,2026-04-20 22:27:26.176839,2026-04-20 22:27:59.366635,0 days 00:00:33.189796,0.04757600117775701,3,2048,0.00017372420333337934,constant,0.20208896598636444,512,adam,,1.0714100479505636e-05,0.8944260204081634,0.9210841836734694,,,PRUNED
75,0.920140306122449,2026-04-20 22:27:59.597793,2026-04-20 22:28:11.677406,0 days 00:00:12.079613,0.1551230605608812,2,512,0.00048758259060324163,constant,0.18035395954839684,128,adam,,2.824093392504139e-06,0.8986479591836735,0.920140306122449,,,PRUNED
76,0.9209183673469388,2026-04-20 22:28:11.802871,2026-04-20 22:28:23.745383,0 days 00:00:11.942512,0.32315244656493197,2,512,0.0005863815774531691,constant,0.12659036910093502,256,adam,,5.920153057752795e-06,0.8843622448979591,0.9209183673469388,,,PRUNED
77,0.904375,2026-04-20 22:28:23.867736,2026-04-20 22:28:35.954520,0 days 00:00:12.086784,0.2560886155698244,4,512,0.000997696925727665,constant,0.14123312136474825,512,adam,,1.3401775099857278e-06,0.904375,,,,PRUNED
78,0.7647066326530612,2026-04-20 22:28:36.076461,2026-04-20 22:28:42.136772,0 days 00:00:06.060311,0.2851626419468391,4,128,0.00010892511955555596,constant,0.16682208048240096,1024,adam,,4.318172543374759e-06,0.7647066326530612,,,,PRUNED
79,0.3977678571428571,2026-04-20 22:28:42.258781,2026-04-20 22:29:05.220420,0 days 00:00:22.961639,0.2221562967552958,4,2048,0.00023613140088321648,constant,0.1466626338475568,128,adamw,,2.368137161821989e-05,0.3977678571428571,,,,PRUNED
80,0.6466262755102041,2026-04-20 22:29:05.492131,2026-04-20 22:29:21.206923,0 days 00:00:15.714792,0.17980805623255453,4,1024,1.3053026701195092e-05,cosine_warmup,0.18525070134680446,1024,adam,9.0,1.71917199598324e-05,0.6466262755102041,,,,PRUNED
81,0.9346173469387755,2026-04-20 22:29:21.351643,2026-04-20 22:31:05.581811,0 days 00:01:44.230168,0.2803157424152885,4,2048,0.00013328137801555713,constant,0.1634342945997411,1024,adam,,1.6422409821347685e-05,0.9180612244897959,0.9346173469387755,,,PRUNED
82,0.7708545918367347,2026-04-20 22:31:05.853513,2026-04-20 22:31:28.865993,0 days 00:00:23.012480,0.5964235234929742,4,2048,0.000279182205173098,constant,0.5744452463509296,256,adamw,,5.0687635758607446e-05,0.7708545918367347,,,,PRUNED
83,0.9493239795918369,2026-04-20 22:31:29.138881,2026-04-20 22:35:06.791006,0 days 00:03:37.652125,0.47187410895897525,3,2048,0.0002956792763047188,constant,0.5499510475700697,256,adamw,,1.4915985593189882e-06,0.9493239795918369,,,,PRUNED
84,0.7166836734693878,2026-04-20 22:35:07.030133,2026-04-20 22:35:40.291990,0 days 00:00:33.261857,0.376516159242462,3,2048,1.1858708905061744e-05,cosine_warmup,0.10463759629388995,1024,adam,6.0,3.921284290148413e-05,0.7166836734693878,,,,PRUNED
85,0.9100127551020408,2026-04-20 22:35:40.525474,2026-04-20 22:35:52.467069,0 days 00:00:11.941595,0.501059716139825,4,512,0.0001316793249693985,constant,0.515934072831927,256,adamw,,4.298997706875984e-06,0.8398724489795918,0.9100127551020408,,,PRUNED
86,0.8471683673469388,2026-04-20 22:35:52.591696,2026-04-20 22:36:21.852235,0 days 00:00:29.260539,0.21299735063020764,2,512,1.865602988886221e-05,constant,0.2976934751884023,512,adam,,1.3397842633599096e-06,0.8471683673469388,,,,PRUNED
87,0.45973852040816326,2026-04-20 22:36:21.975360,2026-04-20 22:36:30.174195,0 days 00:00:08.198835,0.5076093363913572,4,1024,0.004443501574538886,constant,0.4145077288825718,256,adamw,,1.3621474017563334e-05,0.45973852040816326,,,,PRUNED
88,0.9348086734693878,2026-04-20 22:36:30.331798,2026-04-20 22:37:25.756755,0 days 00:00:55.424957,0.4780815942593216,2,2048,0.00043908530614247544,cosine,0.49176345463143856,256,adam,,1.6692336009775927e-06,0.9352040816326531,0.9348086734693878,,,PRUNED
89,0.9326275510204082,2026-04-20 22:37:25.945725,2026-04-20 22:39:57.464696,0 days 00:02:31.518971,0.5494327826083851,2,2048,0.0012036427402928442,cosine_warmup,0.39888090491287215,128,adamw,4.0,1.2575660840645194e-06,0.9326275510204082,,,,PRUNED
90,0.92375,2026-04-20 22:39:57.660099,2026-04-20 22:41:41.640934,0 days 00:01:43.980835,0.4249826451416463,4,2048,1.7805132966208847e-05,constant,0.1807587092585904,512,adam,,3.8048992126174573e-06,0.92375,,,,PRUNED
91,0.9135586734693877,2026-04-20 22:41:41.912078,2026-04-20 22:42:04.945049,0 days 00:00:23.032971,0.02898600159631995,2,2048,0.001198913647858661,constant,0.11216571815641802,1024,adam,,2.4201529668888632e-06,0.8340816326530613,0.9135586734693877,,,PRUNED
92,0.790076530612245,2026-04-20 22:42:05.122244,2026-04-20 22:42:12.054358,0 days 00:00:06.932114,0.5363629608775968,3,1024,3.532373678454693e-05,cosine,0.5260515947817112,256,adam,,8.7006309994726e-06,0.790076530612245,,,,PRUNED
93,0.9089285714285714,2026-04-20 22:42:12.182079,2026-04-20 22:42:55.141681,0 days 00:00:42.959602,0.5220209337125871,4,2048,6.473234517057556e-05,constant,0.5130467377627461,128,adamw,,1.5049078828533027e-06,0.9089285714285714,,,,PRUNED
94,0.9312882653061224,2026-04-20 22:42:55.424568,2026-04-20 22:44:38.912704,0 days 00:01:43.488136,0.33743145872995395,4,2048,6.289824211743494e-05,constant,0.10365642273391504,1024,adamw,,2.322342995612294e-06,0.9312882653061224,,,,PRUNED
95,0.9125765306122449,2026-04-20 22:44:39.186093,2026-04-20 22:44:51.247427,0 days 00:00:12.061334,0.5647266959682443,3,128,0.0027690591271009013,cosine,0.2769588732170607,128,adam,,3.353158161391895e-06,0.8980102040816327,0.9125765306122449,,,PRUNED
96,0.7907653061224491,2026-04-20 22:44:51.381571,2026-04-20 22:45:06.943135,0 days 00:00:15.561564,0.44441900667512996,4,1024,1.1292649774140773e-05,cosine,0.3912461277317661,256,adamw,,2.634154394575708e-06,0.7907653061224491,,,,PRUNED
97,0.8255102040816327,2026-04-20 22:45:07.081143,2026-04-20 22:45:30.102987,0 days 00:00:23.021844,0.5717968569397798,4,2048,0.00025677624609616554,constant,0.5877406573314959,1024,adamw,,1.345657663686416e-06,0.8255102040816327,,,,PRUNED
98,0.9085076530612245,2026-04-20 22:45:30.372639,2026-04-20 22:45:42.493991,0 days 00:00:12.121352,0.527808399905385,4,256,0.00027189615936477044,constant,0.545809242792718,256,adamw,,1.2357276865913628e-06,0.9085076530612245,,,,PRUNED
99,0.9338903061224489,2026-04-20 22:45:42.608292,2026-04-20 22:47:25.825909,0 days 00:01:43.217617,0.5748069966616329,4,2048,6.815430549399466e-05,constant,0.32770870745040026,256,adamw,,4.58468137539536e-06,0.9207142857142857,0.9338903061224489,,,PRUNED
100,0.9160204081632654,2026-04-20 22:47:26.095349,2026-04-20 22:47:37.953861,0 days 00:00:11.858512,0.17025432764510925,3,256,0.0009220441333704709,cosine,0.15538481061749918,512,adam,,7.0538086837635955e-06,0.8723979591836736,0.9160204081632654,,,PRUNED
101,0.8980357142857144,2026-04-20 22:47:38.076002,2026-04-20 22:48:08.232985,0 days 00:00:30.156983,0.4777494859906004,2,1024,2.8396920762397944e-05,cosine_warmup,0.598540615867205,256,adam,8.0,6.623707128069091e-06,0.8980357142857144,,,,PRUNED
102,0.5523788265306122,2026-04-20 22:48:08.360434,2026-04-20 22:48:20.382342,0 days 00:00:12.021908,0.531148767967178,1,1024,1.3836062353249055e-05,cosine_warmup,0.5505547199836156,128,adamw,4.0,0.00017976259174987854,0.5523788265306122,,,,PRUNED
