number,value,datetime_start,datetime_complete,duration,params_attn_dropout,params_clip_layer,params_dim_feedforward,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_n_heads,params_num_layers,params_optimizer_type,params_warmup_epochs,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
45,0.8617857142857143,2026-04-21 12:31:15.110868,2026-04-21 12:31:27.143073,0 days 00:00:12.032205,0.006401560298730527,block_20,2048,1.3236987658127273e-05,cosine,0.5180249312235231,256,8,7,adam,,1.3921365750532026e-06,0.8617857142857143,,,,PRUNED
46,0.8857525510204082,2026-04-21 12:31:27.283763,2026-04-21 12:31:39.235087,0 days 00:00:11.951324,0.036769363798792275,block_12,512,5.227128968021221e-05,cosine,0.537912813137102,512,16,8,adam,,6.328816941677461e-06,0.8857525510204082,,,,PRUNED
47,0.8116198979591837,2026-04-21 12:31:39.381921,2026-04-21 12:31:45.585607,0 days 00:00:06.203686,0.5525735546449789,block_16,512,0.0003308383628189316,constant,0.30158247195766313,256,8,8,adam,,1.4737520151340979e-06,0.8116198979591837,,,,PRUNED
48,0.8258163265306123,2026-04-21 12:31:45.712312,2026-04-21 12:32:03.050469,0 days 00:00:17.338157,0.01675473507064002,block_12,2048,5.151193558105304e-05,cosine,0.5748555525006707,128,16,13,adam,,1.296973424034615e-06,0.8258163265306123,,,,PRUNED
49,0.9298596938775511,2026-04-21 12:32:03.244699,2026-04-21 12:32:41.506425,0 days 00:00:38.261726,0.4163530237204432,block_16,2048,3.79870200212989e-05,cosine,0.5262153882613743,256,16,11,adam,,3.4136755786689775e-06,0.8940688775510204,0.9298596938775511,,,PRUNED
50,0.8943749999999999,2026-04-21 12:32:41.686760,2026-04-21 12:32:55.253085,0 days 00:00:13.566325,0.26927279268313,block_16,2048,2.703945793455173e-05,constant,0.4871475096715377,128,8,9,adam,,1.3182030898244828e-06,0.8387499999999999,0.8943749999999999,,,PRUNED
51,0.9298724489795918,2026-04-21 12:32:55.397742,2026-04-21 12:33:24.586388,0 days 00:00:29.188646,0.5424171964457319,block_16,1024,8.26556194369941e-05,constant,0.1321054680133413,128,8,7,adam,,1.3503853663678332e-05,0.9063137755102041,0.9298724489795918,,,PRUNED
52,0.7664158163265308,2026-04-21 12:33:24.759186,2026-04-21 12:33:36.779158,0 days 00:00:12.019972,0.46904713046379193,block_16,1024,5.5086837951898706e-05,cosine_warmup,0.36883042968860447,128,8,6,adam,4.0,2.8808995566365642e-06,0.7664158163265308,,,,PRUNED
53,0.7763520408163266,2026-04-21 12:33:36.944164,2026-04-21 12:33:43.126895,0 days 00:00:06.182731,0.047198105147931046,block_16,1024,1.812014552958483e-05,constant,0.5069735502231325,512,8,8,adam,,1.1137026034635368e-05,0.7763520408163266,,,,PRUNED
54,0.7980420918367347,2026-04-21 12:33:43.293399,2026-04-21 12:33:51.437683,0 days 00:00:08.144284,0.19840861071379104,block_16,2048,0.00023562733508530418,cosine,0.3971486863136998,128,16,11,adam,,2.403880226259385e-06,0.7980420918367347,,,,PRUNED
55,0.5668112244897959,2026-04-21 12:33:51.596110,2026-04-21 12:33:58.399489,0 days 00:00:06.803379,0.5742857124277438,block_16,2048,0.0001297370356711105,cosine_warmup,0.3036301138341304,128,16,8,adam,6.0,3.918230154956936e-05,0.5668112244897959,,,,PRUNED
56,0.6804209183673469,2026-04-21 12:33:58.580490,2026-04-21 12:34:04.833971,0 days 00:00:06.253481,0.43007437660449,block_16,2048,0.00022475037462862176,cosine_warmup,0.17842816907775894,256,8,6,adam,4.0,7.787652723617898e-06,0.6804209183673469,,,,PRUNED
57,0.7769387755102041,2026-04-21 12:34:05.013732,2026-04-21 12:34:11.185184,0 days 00:00:06.171452,0.585153954769623,block_16,256,0.0002430355093552551,cosine_warmup,0.21657306601440562,128,4,6,adam,8.0,1.051287130558087e-06,0.7769387755102041,,,,PRUNED
58,0.5029209183673469,2026-04-21 12:34:11.337846,2026-04-21 12:34:17.565388,0 days 00:00:06.227542,0.4976419423091768,block_16,1024,0.00015669186597893012,cosine_warmup,0.1619479421470816,128,16,8,adam,11.0,1.2890525784478602e-06,0.5029209183673469,,,,PRUNED
59,0.8771811224489795,2026-04-21 12:34:17.724418,2026-04-21 12:34:29.579941,0 days 00:00:11.855523,0.37735353506045055,block_12,256,0.00016751902813616422,constant,0.3821266779336456,128,8,9,adam,,0.00010216541918842228,0.8771811224489795,,,,PRUNED
60,0.8927551020408163,2026-04-21 12:34:29.735655,2026-04-21 12:34:42.485166,0 days 00:00:12.749511,0.01769525123908176,block_12,2048,4.750404169872215e-05,constant,0.555490548951024,1024,8,8,adam,,1.3737710524397983e-06,0.8364158163265306,0.8927551020408163,,,PRUNED
61,0.6884821428571428,2026-04-21 12:34:42.651398,2026-04-21 12:34:48.778358,0 days 00:00:06.126960,0.2584653596156587,block_16,256,0.000913744328390474,cosine,0.13993394144782445,128,8,9,adam,,1.1406199141181522e-06,0.6884821428571428,,,,PRUNED
62,0.8796428571428572,2026-04-21 12:34:48.927779,2026-04-21 12:35:00.650369,0 days 00:00:11.722590,0.5147802655846134,block_12,256,0.0005820575638714896,cosine,0.3290491856200052,64,8,6,adam,,4.888391265341363e-06,0.8796428571428572,,,,PRUNED
63,0.9470408163265306,2026-04-21 12:35:00.790937,2026-04-21 12:36:58.413313,0 days 00:01:57.622376,0.4800194222337604,block_16,1024,0.000350841832190288,cosine,0.24680791572258343,128,8,6,adam,,3.9122386624779284e-06,0.8985841836734694,0.9305229591836734,0.9459821428571429,,COMPLETE
64,0.8652104591836735,2026-04-21 12:36:58.562378,2026-04-21 12:37:29.935142,0 days 00:00:31.372764,0.3354028716401294,block_16,2048,0.0006124024584402261,cosine,0.3709106949851806,64,8,8,adam,,3.19891316507657e-05,0.8652104591836735,,,,PRUNED
65,0.9456505102040816,2026-04-21 12:37:30.065908,2026-04-21 12:38:51.759078,0 days 00:01:21.693170,0.27646302615771357,block_16,256,0.00022524459026712856,cosine,0.3516326331011506,512,8,6,adam,,4.574818647747623e-06,0.925280612244898,0.9361479591836734,0.9456505102040816,,PRUNED
66,0.9420280612244898,2026-04-21 12:38:51.911393,2026-04-21 12:40:13.974840,0 days 00:01:22.063447,0.25022326628160946,block_16,256,0.0004676330547430895,cosine_warmup,0.32964945752704267,1024,8,8,adam,7.0,1.855127938572027e-05,0.9420280612244898,,,,PRUNED
67,0.9144260204081632,2026-04-21 12:40:14.125103,2026-04-21 12:40:50.804227,0 days 00:00:36.679124,0.05782145595562653,block_20,2048,1.4532409731594398e-05,constant,0.5790415032003263,512,16,10,adam,,1.1917272725548964e-06,0.9144260204081632,,,,PRUNED
68,0.6682780612244896,2026-04-21 12:40:50.962352,2026-04-21 12:41:00.662431,0 days 00:00:09.700079,0.18071108364300192,block_16,2048,0.0007701036950706158,constant,0.15816735143115412,64,4,15,adam,,0.001894556058389407,0.6682780612244896,,,,PRUNED
69,0.9269897959183673,2026-04-21 12:41:00.833559,2026-04-21 12:41:30.315137,0 days 00:00:29.481578,0.5114431706393164,block_20,1024,0.00022687623744224394,cosine_warmup,0.20864251295916775,1024,8,6,adam,4.0,1.2619791776431747e-06,0.9062627551020408,0.9269897959183673,,,PRUNED
70,0.8995025510204081,2026-04-21 12:41:30.468205,2026-04-21 12:42:00.083867,0 days 00:00:29.615662,0.29167980739476906,pre_proj,2048,0.00021905698447065514,cosine,0.5130590557210714,128,4,6,adam,,1.806856714140366e-06,0.8995025510204081,,,,PRUNED
71,0.8049107142857141,2026-04-21 12:42:00.239757,2026-04-21 12:42:43.786028,0 days 00:00:43.546271,0.02838264781440848,block_12,2048,0.00046783446845579556,constant,0.3120061682242375,64,8,14,adam,,2.105610803247779e-05,0.8049107142857141,,,,PRUNED
72,0.5423979591836735,2026-04-21 12:42:43.956688,2026-04-21 12:42:50.161323,0 days 00:00:06.204635,0.4079947462692096,block_16,256,0.0007903755769395255,cosine,0.42320840835646567,128,2,8,adam,,2.2317748669823547e-05,0.5423979591836735,,,,PRUNED
73,0.8772959183673469,2026-04-21 12:42:50.300375,2026-04-21 12:43:03.178150,0 days 00:00:12.877775,0.027497195511782507,block_12,512,0.00033460836871841395,constant,0.3957952856496422,512,8,13,adam,,3.7235192856664565e-06,0.8242602040816327,0.8772959183673469,,,PRUNED
74,0.7494132653061224,2026-04-21 12:43:03.320307,2026-04-21 12:43:10.175808,0 days 00:00:06.855501,0.0616779630064187,block_12,512,0.0001859036765724906,constant,0.44688651070965085,64,8,14,adam,,1.2963981903592816e-05,0.7494132653061224,,,,PRUNED
75,0.6902295918367347,2026-04-21 12:43:10.343202,2026-04-21 12:43:16.465626,0 days 00:00:06.122424,0.513712238129572,block_16,512,8.802350569991455e-05,cosine_warmup,0.1895421210077484,128,8,7,adam,7.0,5.4092415664394e-06,0.6902295918367347,,,,PRUNED
76,0.7809183673469388,2026-04-21 12:43:16.599443,2026-04-21 12:43:28.473809,0 days 00:00:11.874366,0.49218060480768616,block_16,1024,0.00011905916826168421,cosine_warmup,0.2038157111678718,512,8,6,adam,10.0,4.565819653956965e-06,0.7809183673469388,,,,PRUNED
77,0.5271811224489796,2026-04-21 12:43:28.628925,2026-04-21 12:43:34.963870,0 days 00:00:06.334945,0.30849450208069196,block_16,2048,4.28100431921475e-05,cosine_warmup,0.46218714663785904,128,16,7,adam,14.0,2.3740157491743337e-06,0.5271811224489796,,,,PRUNED
78,0.9288520408163266,2026-04-21 12:43:35.131122,2026-04-21 12:44:10.183517,0 days 00:00:35.052395,0.21446262272883737,block_16,2048,0.0006815310994398573,cosine_warmup,0.23678290871255478,64,2,10,adam,6.0,0.00016528177846726068,0.9002933673469388,0.9288520408163266,,,PRUNED
79,0.7286926020408164,2026-04-21 12:44:10.340403,2026-04-21 12:44:23.526359,0 days 00:00:13.185956,0.0917500535952051,block_16,512,0.0006043347012244816,constant,0.4240488169356474,64,4,14,adam,,1.7012372921604224e-05,0.7286926020408164,,,,PRUNED
80,0.8907653061224491,2026-04-21 12:44:23.706451,2026-04-21 12:45:57.970735,0 days 00:01:34.264284,0.26970410190027916,pre_proj,2048,5.1579976046571205e-05,cosine,0.3660018193230247,128,16,9,adam,,2.636749715150278e-06,0.8907653061224491,,,,PRUNED
81,0.8920918367346939,2026-04-21 12:45:58.151392,2026-04-21 12:46:10.116924,0 days 00:00:11.965532,0.46788623767148324,block_16,1024,0.0002573479893545798,cosine,0.15400807195949287,128,8,8,adam,,6.458509019267305e-05,0.8276658163265307,0.8920918367346939,,,PRUNED
82,0.7700063775510204,2026-04-21 12:46:10.258383,2026-04-21 12:46:16.503523,0 days 00:00:06.245140,0.041733792315607435,block_12,512,0.0005418589759421918,constant,0.2644608435715504,64,2,11,adam,,4.325671519278936e-06,0.7700063775510204,,,,PRUNED
83,0.9293622448979592,2026-04-21 12:46:16.643646,2026-04-21 12:46:45.877462,0 days 00:00:29.233816,0.5021657347550387,block_16,2048,5.671969350669222e-05,constant,0.45788687886253754,512,16,6,adam,,4.4021484174059595e-06,0.8346045918367346,0.9072831632653061,0.9293622448979592,,PRUNED
84,0.7295663265306122,2026-04-21 12:46:46.049996,2026-04-21 12:46:52.315297,0 days 00:00:06.265301,0.4515724023494485,pre_proj,1024,0.0004552793426675605,cosine_warmup,0.1827220638528849,128,8,7,adam,4.0,2.6930802250725224e-06,0.7295663265306122,,,,PRUNED
85,0.9294642857142857,2026-04-21 12:46:52.470111,2026-04-21 12:47:27.786493,0 days 00:00:35.316382,0.06630444816846512,block_20,2048,0.00013549449186148018,cosine,0.5259397585352122,512,8,10,adam,,1.762267300085006e-06,0.9087882653061224,0.9294642857142857,,,PRUNED
86,0.7584502551020409,2026-04-21 12:47:27.928155,2026-04-21 12:47:34.144548,0 days 00:00:06.216393,0.5141811615076919,block_16,1024,0.0008158157690241939,cosine,0.3230706826378935,64,4,7,adam,,1.1300928177799448e-05,0.7584502551020409,,,,PRUNED
87,0.7771045918367347,2026-04-21 12:47:34.294138,2026-04-21 12:47:40.475162,0 days 00:00:06.181024,0.43819203225418357,block_16,256,0.0008616742068516169,cosine,0.12289285111934256,128,16,6,adam,,0.00010521858462449074,0.7771045918367347,,,,PRUNED
88,0.9474744897959184,2026-04-21 12:47:40.614286,2026-04-21 12:49:38.428410,0 days 00:01:57.814124,0.4471980300675569,block_16,256,0.00013381551510794734,cosine,0.44204053896575807,128,16,8,adam,,1.5724570033850436e-06,0.8355484693877551,0.9101913265306123,0.9330739795918367,0.9471683673469389,COMPLETE
89,0.8819642857142856,2026-04-21 12:49:38.580282,2026-04-21 12:50:09.590576,0 days 00:00:31.010294,0.08715948868160081,pre_proj,512,0.0002053738150462797,cosine_warmup,0.3740342187043872,64,8,13,adam,9.0,2.002652532441993e-06,0.8819642857142856,,,,PRUNED
90,0.8022193877551022,2026-04-21 12:50:09.737206,2026-04-21 12:50:15.922171,0 days 00:00:06.184965,0.3415537766379317,block_12,256,8.908738680351577e-05,cosine,0.5250251494197824,128,16,11,adam,,1.4788790257866702e-06,0.8022193877551022,,,,PRUNED
91,0.8933290816326531,2026-04-21 12:50:16.088019,2026-04-21 12:50:27.954579,0 days 00:00:11.866560,0.022194809190383327,block_12,256,7.092657217596914e-05,cosine,0.5515453241008428,512,8,8,adam,,1.2079155776949043e-06,0.8678061224489795,0.8933290816326531,,,PRUNED
92,0.8198852040816327,2026-04-21 12:50:28.094958,2026-04-21 12:50:34.274591,0 days 00:00:06.179633,0.5393044095217939,pre_proj,512,0.0009836497740423212,constant,0.3703748774545868,128,8,7,adam,,1.2353049948309001e-05,0.8198852040816327,,,,PRUNED
93,0.7354464285714286,2026-04-21 12:50:34.415758,2026-04-21 12:50:40.615882,0 days 00:00:06.200124,0.49770804620094905,block_16,256,0.0001649824507305361,cosine_warmup,0.48019339038762254,128,16,9,adam,6.0,2.9051915836384475e-06,0.7354464285714286,,,,PRUNED
94,0.7596938775510204,2026-04-21 12:50:40.787958,2026-04-21 12:50:46.950009,0 days 00:00:06.162051,0.5896577245390059,block_12,1024,0.0004991172713630436,cosine,0.22081109722696463,128,2,7,adam,,1.0020433515575957e-05,0.7596938775510204,,,,PRUNED
95,0.9296556122448979,2026-04-21 12:50:47.097272,2026-04-21 12:51:16.232201,0 days 00:00:29.134929,0.5529454454820978,block_16,256,9.376523757387889e-05,cosine,0.38254948614797635,128,16,7,adam,,2.446438100870153e-06,0.9127551020408163,0.9296556122448979,,,PRUNED
96,0.7253571428571429,2026-04-21 12:51:16.398527,2026-04-21 12:51:23.884974,0 days 00:00:07.486447,0.2848975487694625,block_16,2048,0.00021067303787231063,constant,0.35441961570528185,1024,4,10,adam,,0.000209944669043033,0.7253571428571429,,,,PRUNED
97,0.9489795918367347,2026-04-21 12:51:24.045545,2026-04-21 12:53:20.568295,0 days 00:01:56.522750,0.46386247155190596,block_16,1024,8.923468501218918e-05,cosine,0.5804413673433998,1024,16,6,adam,,5.011406460037182e-06,0.8599234693877551,0.9137882653061224,0.9362882653061224,0.947359693877551,COMPLETE
